method_raw,published_axis_score,method_id,recomputed_axis_score,perturbation_axis,abs_diff
PHATE,0.7789163288038138,PHATE,0.6297157894736843,celltype_number,0.14920053933012944
PaCMAP,0.1975444165601582,PaCMAP,0.2305052631578947,celltype_number,0.032960846597736515
ParametricUMAP200,0.7238414612986173,Parametric UMAP 200,0.5581052631578948,celltype_number,0.1657361981407225
ParametricUMAP50,0.7037051022095839,Parametric UMAP 50,0.5481789473684211,celltype_number,0.15552615484116283
SAUCIE,0.1311059636806396,SAUCIE,0.18322105263157892,celltype_number,0.05211508895093933
SCDRHA,0.5249158704032002,SCDRHA,0.4208631578947369,celltype_number,0.10405271250846332
SIMLR,0.791543270573378,SIMLR,0.6083157894736841,celltype_number,0.1832274810996939
SPDR,0.8453809551740825,SPDR,0.6329894736842105,celltype_number,0.21239148148987197
SQuaD_MDS,0.4278702038080252,SQuaD-MDS,0.3924315789473684,celltype_number,0.0354386248606568
SQuaD_MDS_hybrid,0.5740789307780407,SQuaD-MDS hybrid,0.4269578947368421,celltype_number,0.14712103604119864
SSNMDI,0.1804233749632076,SSNMDI,0.20751578947368418,celltype_number,0.027092414510476587
TriMap,0.8600449010109694,TriMap,0.6603894736842106,celltype_number,0.19965542732675878
UMAP,0.6764701106838252,UMAP,0.5146736842105264,celltype_number,0.16179642647329884
VAE,0.7965530058421662,VAE,0.6010736842105263,celltype_number,0.19547932163163984
,,VASC,0.20869333333333334,celltype_number,
ZIFA,0.4636743020996,ZIFA,0.4051684210526316,celltype_number,0.058505881046968355
pCMF,0.1593842630473728,pCMF,0.17653684210526313,celltype_number,0.017152579057890333
scGAE,0.1539534034706363,scGAE,0.19001052631578946,celltype_number,0.03605712284515317
scGBM,0.4844445283960202,scGBM,0.4201578947368422,celltype_number,0.06428663365917803
scScope,0.1863982237123593,scScope,0.21256842105263157,celltype_number,0.02617019734027226
scvis,0.183199617653187,scvis,0.23901345029239765,celltype_number,0.05581383263921064
TSNE,0.8419310280858696,t-SNE,0.6341894736842105,celltype_number,0.2077415544016591
tGPLVM,0.1870430349676848,tGPLVM,0.21332631578947367,celltype_number,0.02628328082178888
DRA,0.1341300050401535,DRA,0.25117894736842106,de_prob,0.11704894232826757
DREAM,0.4931920378563125,DREAM,0.5039052631578947,de_prob,0.010713225301582252
EDGE,0.6957527926043161,EDGE,0.6526315789473685,de_prob,0.043121213656947655
GLMPCA,0.7033934583945955,GLMPCA,0.6669263157894736,de_prob,0.03646714260512196
ivis,0.6314717928546049,IVIS,0.62,de_prob,0.011471792854604868
PCA,0.7185274215841633,PCA,0.680178947368421,de_prob,0.03834847421574228
PHATE,0.7602835786759344,PHATE,0.7259789473684212,de_prob,0.03430463130751327
PaCMAP,0.1442852232794601,PaCMAP,0.2627578947368421,de_prob,0.11847267145738197
ParametricUMAP200,0.759441608993485,Parametric UMAP 200,0.6945157894736842,de_prob,0.06492581951980081
ParametricUMAP50,0.7633340815143081,Parametric UMAP 50,0.701978947368421,de_prob,0.061355134145887114
SAUCIE,0.1208845555915354,SAUCIE,0.23976842105263158,de_prob,0.11888386546109618
SCDRHA,0.6195030601711375,SCDRHA,0.564557894736842,de_prob,0.054945165434295506
SIMLR,0.783084122225534,SIMLR,0.6643157894736842,de_prob,0.11876833275184984
SPDR,0.7952325699240155,SPDR,0.6966,de_prob,0.09863256992401548
SQuaD_MDS,0.493623263212784,SQuaD-MDS,0.5102736842105263,de_prob,0.016650420997742332
SQuaD_MDS_hybrid,0.7128200373851867,SQuaD-MDS hybrid,0.6269789473684211,de_prob,0.08584109001676565
SSNMDI,0.113809239271635,SSNMDI,0.22510526315789475,de_prob,0.11129602388625975
TriMap,0.8126512024667181,TriMap,0.7289157894736842,de_prob,0.08373541299303389
UMAP,0.6916536163875884,UMAP,0.6295263157894737,de_prob,0.062127300598114665
VAE,0.7556558274408287,VAE,0.6741578947368422,de_prob,0.08149793270398653
,,VASC,0.23060000000000005,de_prob,
ZIFA,0.7139013804454073,ZIFA,0.6794421052631578,de_prob,0.03445927518224945
pCMF,0.1021008740156151,pCMF,0.20708421052631582,de_prob,0.10498333651070071
scGAE,0.4748586128830068,scGAE,0.449778947368421,de_prob,0.02507966551458579
scGBM,0.6794514760435607,scGBM,0.6523578947368421,de_prob,0.027093581306718573
scScope,0.3193103534510967,scScope,0.3780947368421053,de_prob,0.05878438339100861
scvis,0.137045855559145,scvis,0.25192631578947366,de_prob,0.11488046023032866
TSNE,0.7771813927839413,t-SNE,0.6828526315789474,de_prob,0.0943287612049939
tGPLVM,0.6707848152216693,tGPLVM,0.6357684210526315,de_prob,0.03501639416903779
DRA,0.1107934418902619,DRA,0.23994736842105263,de_strength,0.12915392653079072
DREAM,0.6141548804024761,DREAM,0.6130210526315789,de_strength,0.001133827770897211
EDGE,0.6779461762148894,EDGE,0.6490526315789473,de_strength,0.02889354463594207
GLMPCA,0.7173683363585628,GLMPCA,0.705978947368421,de_strength,0.011389388990141747
ivis,0.6866645784564177,IVIS,0.6663894736842105,de_strength,0.020275104772207175
PCA,0.749515427393428,PCA,0.7280210526315789,de_strength,0.021494374761849122
PHATE,0.7749988779566965,PHATE,0.7631894736842105,de_strength,0.011809404272486002
PaCMAP,0.1319666910349156,PaCMAP,0.26781052631578944,de_strength,0.13584383528087385
ParametricUMAP200,0.7555478074958912,Parametric UMAP 200,0.7107157894736842,de_strength,0.04483201802220704
ParametricUMAP50,0.7469879941883032,Parametric UMAP 50,0.7102526315789474,de_strength,0.03673536260935584
SAUCIE,0.1317229251947831,SAUCIE,0.25179999999999997,de_strength,0.12007707480521687
SCDRHA,0.6717888944927923,SCDRHA,0.6504105263157896,de_strength,0.021378368177002782
SIMLR,0.7839826480835557,SIMLR,0.684621052631579,de_strength,0.09936159545197665
SPDR,0.8122536929698768,SPDR,0.7427263157894737,de_strength,0.06952737718040314
SQuaD_MDS,0.6154022145396465,SQuaD-MDS,0.6042526315789474,de_strength,0.011149582960699123
SQuaD_MDS_hybrid,0.7158683976436564,SQuaD-MDS hybrid,0.6482526315789474,de_strength,0.06761576606470898
SSNMDI,0.0928338108205176,SSNMDI,0.22108421052631577,de_strength,0.12825039970579816
TriMap,0.8237615995564432,TriMap,0.7662210526315789,de_strength,0.05754054692486432
UMAP,0.6986234504367085,UMAP,0.6610315789473684,de_strength,0.03759187148934007
VAE,0.7761827332863378,VAE,0.7166526315789474,de_strength,0.05953010170739037
,,VASC,0.25569333333333333,de_strength,
ZIFA,0.7515767634582382,ZIFA,0.7270947368421052,de_strength,0.024482026616132968
pCMF,0.2987736647223162,pCMF,0.3666736842105263,de_strength,0.06790001948821012
scGAE,0.4384595977279435,scGAE,0.4594526315789473,de_strength,0.020993033851003762
scGBM,0.7124584288470471,scGBM,0.7051157894736841,de_strength,0.007342639373362991
scScope,0.5525121025378337,scScope,0.5596315789473685,de_strength,0.007119476409534808
scvis,0.4408195736242289,scvis,0.4673894736842105,de_strength,0.02656990005998161
TSNE,0.7766570928753362,t-SNE,0.7092526315789474,de_strength,0.06740446129638888
tGPLVM,0.6703593002281977,tGPLVM,0.6530842105263158,de_strength,0.01727508970188185
DRA,0.1273928173114777,DRA,0.25020000000000003,dropout,0.12280718268852234
DREAM,0.1914739352829793,DREAM,0.28511578947368416,dropout,0.09364185419070487
EDGE,0.5517693312141507,EDGE,0.5174631578947368,dropout,0.03430617331941388
GLMPCA,0.6186487496708308,GLMPCA,0.5872842105263159,dropout,0.03136453914451498
