method_id,family_short,dataset_id,perturbation_axis,score
scGBM,linear,celltype_11,celltype_number,0.4016315789473684
scScope,deep,celltype_11,celltype_number,0.2266315789473683
scvis,deep,celltype_11,celltype_number,0.2493684210526316
tGPLVM,linear,celltype_11,celltype_number,0.2406842105263158
DRA,deep,celltype_13,celltype_number,0.191578947368421
DREAM,deep,celltype_13,celltype_number,0.207578947368421
EDGE,graph,celltype_13,celltype_number,0.303
GLMPCA,linear,celltype_13,celltype_number,0.3889999999999999
PCA,linear,celltype_13,celltype_number,0.4135789473684211
PHATE,graph,celltype_13,celltype_number,0.5927368421052632
PaCMAP,metric,celltype_13,celltype_number,0.2169999999999999
SAUCIE,deep,celltype_13,celltype_number,0.180578947368421
SCDRHA,deep,celltype_13,celltype_number,0.3574210526315789
SIMLR,graph,celltype_13,celltype_number,0.5725263157894735
SPDR,graph,celltype_13,celltype_number,0.6239473684210527
SQuaD-MDS,metric,celltype_13,celltype_number,0.359
SSNMDI,linear,celltype_13,celltype_number,0.1912105263157894
t-SNE,metric,celltype_13,celltype_number,0.6362105263157893
TriMap,metric,celltype_13,celltype_number,0.6392105263157896
UMAP,graph,celltype_13,celltype_number,0.4704736842105263
VAE,deep,celltype_13,celltype_number,0.5725789473684211
ZIFA,linear,celltype_13,celltype_number,0.3989473684210526
IVIS,metric,celltype_13,celltype_number,0.2376842105263159
pCMF,linear,celltype_13,celltype_number,0.1647894736842105
scGAE,deep,celltype_13,celltype_number,0.193578947368421
scGBM,linear,celltype_13,celltype_number,0.3552105263157894
scScope,deep,celltype_13,celltype_number,0.2133684210526315
scvis,deep,celltype_13,celltype_number,0.2734210526315789
tGPLVM,linear,celltype_13,celltype_number,0.2013157894736842
DRA,deep,celltype_15,celltype_number,0.2142105263157894
DREAM,deep,celltype_15,celltype_number,0.1997368421052631
EDGE,graph,celltype_15,celltype_number,0.2729473684210526
GLMPCA,linear,celltype_15,celltype_number,0.369
PCA,linear,celltype_15,celltype_number,0.3716315789473684
PHATE,graph,celltype_15,celltype_number,0.5902631578947369
PaCMAP,metric,celltype_15,celltype_number,0.2349473684210526
SAUCIE,deep,celltype_15,celltype_number,0.1575263157894736
SCDRHA,deep,celltype_15,celltype_number,0.3754210526315789
SIMLR,graph,celltype_15,celltype_number,0.5525263157894738
SPDR,graph,celltype_15,celltype_number,0.6328947368421053
SQuaD-MDS,metric,celltype_15,celltype_number,0.3663157894736842
SSNMDI,linear,celltype_15,celltype_number,0.1926315789473684
t-SNE,metric,celltype_15,celltype_number,0.6296842105263158
TriMap,metric,celltype_15,celltype_number,0.6390526315789474
UMAP,graph,celltype_15,celltype_number,0.3842631578947369
VAE,deep,celltype_15,celltype_number,0.5577894736842106
