dataset_id,method_raw,metric,metric_value,component_domain,perturbation_axis,axis_order,method_id,parent_method,parameter_label,method_family,method_order
cell_100,PHATE,random_triplet,0.56,global,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,spearman,0.198,global,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,k-nearest,0.2,global,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,centroid_distance,0.614,global,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,T_30,0.627,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,C_30,0.661,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,Mrre_false_30,0.59,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,Mrre_missing_30,0.695,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,Pearson,0.261,global,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,nh_30,0.477,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,ARI,0.53,cluster,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,NMI,0.61,cluster,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,SIL,0.4,cluster,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,COMP,0.6,cluster,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,HOMO,0.61,cluster,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PaCMAP,knn_30,0.25,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,svm,0.24,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,nkr_30,0.323,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,aji_30,0.2,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,random_triplet,0.576,global,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,spearman,0.087,global,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,k-nearest,0.0,global,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,centroid_distance,0.757,global,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,T_30,0.568,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,C_30,0.586,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,Mrre_false_30,0.496,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,Mrre_missing_30,0.501,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,Pearson,0.192,global,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,nh_30,0.199,local,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
