method_raw,method_id,parent_method,perturbation_axis,score,source_file
VAE,VAE,VAE,batch_strength,0.7382082870927953,metric\score\stability\batch_strength.csv
ZIFA,ZIFA,ZIFA,batch_strength,0.6223631470037259,metric\score\stability\batch_strength.csv
ivis,IVIS,IVIS,batch_strength,0.4213747112021974,metric\score\stability\batch_strength.csv
pCMF,pCMF,pCMF,batch_strength,0.2964166369268523,metric\score\stability\batch_strength.csv
scGAE,scGAE,scGAE,batch_strength,0.2912802778722371,metric\score\stability\batch_strength.csv
scGBM,scGBM,scGBM,batch_strength,0.629440459246491,metric\score\stability\batch_strength.csv
scScope,scScope,scScope,batch_strength,0.3312594971256926,metric\score\stability\batch_strength.csv
scvis,scvis,scvis,batch_strength,0.518506847587674,metric\score\stability\batch_strength.csv
tGPLVM,tGPLVM,tGPLVM,batch_strength,0.4485986140413407,metric\score\stability\batch_strength.csv
DRA,DRA,DRA,cell_number,0.1535383598699765,metric\score\stability\cell_number.csv
DREAM,DREAM,DREAM,cell_number,0.3664763951258211,metric\score\stability\cell_number.csv
EDGE,EDGE,EDGE,cell_number,0.5464203446354687,metric\score\stability\cell_number.csv
GLMPCA,GLMPCA,GLMPCA,cell_number,0.5604109288696338,metric\score\stability\cell_number.csv
PCA,PCA,PCA,cell_number,0.6038211197703784,metric\score\stability\cell_number.csv
PHATE,PHATE,PHATE,cell_number,0.6312243922472263,metric\score\stability\cell_number.csv
PaCMAP,PaCMAP,PaCMAP,cell_number,0.1795242350833878,metric\score\stability\cell_number.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,cell_number,0.6181363627113978,metric\score\stability\cell_number.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,cell_number,0.6162672987838309,metric\score\stability\cell_number.csv
SAUCIE,SAUCIE,SAUCIE,cell_number,0.1439438252657219,metric\score\stability\cell_number.csv
SCDRHA,SCDRHA,SCDRHA,cell_number,0.4028404218904555,metric\score\stability\cell_number.csv
SIMLR,SIMLR,SIMLR,cell_number,0.6367869190209426,metric\score\stability\cell_number.csv
SPDR,SPDR,SPDR,cell_number,0.6460355725123851,metric\score\stability\cell_number.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,cell_number,0.4490900524738895,metric\score\stability\cell_number.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,cell_number,0.5723336199439802,metric\score\stability\cell_number.csv
SSNMDI,SSNMDI,SSNMDI,cell_number,0.1525368911175403,metric\score\stability\cell_number.csv
TSNE,t-SNE,t-SNE,cell_number,0.6450669752590636,metric\score\stability\cell_number.csv
TriMap,TriMap,TriMap,cell_number,0.6716729903583395,metric\score\stability\cell_number.csv
UMAP,UMAP,UMAP,cell_number,0.5956482605983382,metric\score\stability\cell_number.csv
VAE,VAE,VAE,cell_number,0.5558215913720532,metric\score\stability\cell_number.csv
ZIFA,ZIFA,ZIFA,cell_number,0.5968468533563878,metric\score\stability\cell_number.csv
ivis,IVIS,IVIS,cell_number,0.4502708049824035,metric\score\stability\cell_number.csv
pCMF,pCMF,pCMF,cell_number,0.1411782380973407,metric\score\stability\cell_number.csv
scGAE,scGAE,scGAE,cell_number,0.1974263772119363,metric\score\stability\cell_number.csv
scGBM,scGBM,scGBM,cell_number,0.5769744201453216,metric\score\stability\cell_number.csv
scScope,scScope,scScope,cell_number,0.3961535432226534,metric\score\stability\cell_number.csv
scvis,scvis,scvis,cell_number,0.1850854847117535,metric\score\stability\cell_number.csv
tGPLVM,tGPLVM,tGPLVM,cell_number,0.530008274882307,metric\score\stability\cell_number.csv
DRA,DRA,DRA,celltype_number,0.1897027789285673,metric\score\stability\celltype_number.csv
DREAM,DREAM,DREAM,celltype_number,0.1828705394258632,metric\score\stability\celltype_number.csv
EDGE,EDGE,EDGE,celltype_number,0.4338243337702144,metric\score\stability\celltype_number.csv
GLMPCA,GLMPCA,GLMPCA,celltype_number,0.5026220326492223,metric\score\stability\celltype_number.csv
PCA,PCA,PCA,celltype_number,0.5218423417834868,metric\score\stability\celltype_number.csv
PHATE,PHATE,PHATE,celltype_number,0.7789163288038138,metric\score\stability\celltype_number.csv
PaCMAP,PaCMAP,PaCMAP,celltype_number,0.1975444165601582,metric\score\stability\celltype_number.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,celltype_number,0.7238414612986173,metric\score\stability\celltype_number.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,celltype_number,0.7037051022095839,metric\score\stability\celltype_number.csv
SAUCIE,SAUCIE,SAUCIE,celltype_number,0.1311059636806396,metric\score\stability\celltype_number.csv
SCDRHA,SCDRHA,SCDRHA,celltype_number,0.5249158704032002,metric\score\stability\celltype_number.csv
SIMLR,SIMLR,SIMLR,celltype_number,0.791543270573378,metric\score\stability\celltype_number.csv
SPDR,SPDR,SPDR,celltype_number,0.8453809551740825,metric\score\stability\celltype_number.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,celltype_number,0.4278702038080252,metric\score\stability\celltype_number.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,celltype_number,0.5740789307780407,metric\score\stability\celltype_number.csv
SSNMDI,SSNMDI,SSNMDI,celltype_number,0.1804233749632076,metric\score\stability\celltype_number.csv
TSNE,t-SNE,t-SNE,celltype_number,0.8419310280858696,metric\score\stability\celltype_number.csv
TriMap,TriMap,TriMap,celltype_number,0.8600449010109694,metric\score\stability\celltype_number.csv
UMAP,UMAP,UMAP,celltype_number,0.6764701106838252,metric\score\stability\celltype_number.csv
VAE,VAE,VAE,celltype_number,0.7965530058421662,metric\score\stability\celltype_number.csv
ZIFA,ZIFA,ZIFA,celltype_number,0.4636743020996,metric\score\stability\celltype_number.csv
ivis,IVIS,IVIS,celltype_number,0.2251230066970115,metric\score\stability\celltype_number.csv
pCMF,pCMF,pCMF,celltype_number,0.1593842630473728,metric\score\stability\celltype_number.csv
scGAE,scGAE,scGAE,celltype_number,0.1539534034706363,metric\score\stability\celltype_number.csv
scGBM,scGBM,scGBM,celltype_number,0.4844445283960202,metric\score\stability\celltype_number.csv
scScope,scScope,scScope,celltype_number,0.1863982237123593,metric\score\stability\celltype_number.csv
scvis,scvis,scvis,celltype_number,0.183199617653187,metric\score\stability\celltype_number.csv
tGPLVM,tGPLVM,tGPLVM,celltype_number,0.1870430349676848,metric\score\stability\celltype_number.csv
DRA,DRA,DRA,de_prob,0.1341300050401535,metric\score\stability\de_prob.csv
