method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source_file
scScope,scScope,scScope,50000,2.87,1465.8099,metric\efficiency\cell_50000.csv
pCMF,pCMF,pCMF,50000,3.465,12988.65,metric\efficiency\cell_50000.csv
EDGE,EDGE,EDGE,50000,31.582,6291.383,metric\efficiency\cell_50000.csv
scvis,scvis,scvis,50000,1.701,6552.7855,metric\efficiency\cell_50000.csv
ZIFA,ZIFA,ZIFA,50000,7.032,8466.2815,metric\efficiency\cell_50000.csv
SAUCIE,SAUCIE,SAUCIE,73233,1.189,3.5225,metric\efficiency\cell_73233.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,73233,1.849,996.3987,metric\efficiency\cell_73233.csv
UMAP,UMAP,UMAP,73233,3.183,44.8445,metric\efficiency\cell_73233.csv
PHATE,PHATE,PHATE,73233,2.195,549.2445,metric\efficiency\cell_73233.csv
ivis,IVIS,IVIS,73233,1.673,197.2723,metric\efficiency\cell_73233.csv
DRA,DRA,DRA,73233,1.768,7192.8711,metric\efficiency\cell_73233.csv
TriMap,TriMap,TriMap,73233,1.569,64.3344,metric\efficiency\cell_73233.csv
PaCMAP,PaCMAP,PaCMAP,73233,2.05,156.4359,metric\efficiency\cell_73233.csv
PCA,PCA,PCA,73233,2.75,13.89,metric\efficiency\cell_73233.csv
t-SNE,t-SNE,t-SNE,73233,2.76,443.098,metric\efficiency\cell_73233.csv
VAE,VAE,VAE,73233,3.161,1994.1385,metric\efficiency\cell_73233.csv
GLMPCA,GLMPCA,GLMPCA,73233,5.027,821.787,metric\efficiency\cell_73233.csv
scGBM,scGBM,scGBM,73233,5.252,573.543,metric\efficiency\cell_73233.csv
VASC,VASC,VASC,73233,4.152,25268.5643,metric\efficiency\cell_73233.csv
tGPLVM,tGPLVM,tGPLVM,73233,2.01,207.9224,metric\efficiency\cell_73233.csv
pCMF,pCMF,pCMF,73233,4.882,18998.695,metric\efficiency\cell_73233.csv
scScope,scScope,scScope,73233,3.253,2165.0811,metric\efficiency\cell_73233.csv
SPDR,SPDR,SPDR,73233,6.022,20562.4158,metric\efficiency\cell_73233.csv
EDGE,EDGE,EDGE,73233,63.961,13138.446,metric\efficiency\cell_73233.csv
scvis,scvis,scvis,73233,2.085,9444.5761,metric\efficiency\cell_73233.csv
ZIFA,ZIFA,ZIFA,73233,10.25,9119.3146,metric\efficiency\cell_73233.csv
