method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
SAUCIE,0.02,SAUCIE,SAUCIE,simulate,cell_500,kmeans,NMI,metric\cluster\simulate\cell_500\indicators\kmeans_NMI.csv
PCA,0.92,PCA,PCA,simulate,cell_500,kmeans,NMI,metric\cluster\simulate\cell_500\indicators\kmeans_NMI.csv
PHATE,0.99,PHATE,PHATE,simulate,cell_500,kmeans,NMI,metric\cluster\simulate\cell_500\indicators\kmeans_NMI.csv
ivis,0.34,IVIS,IVIS,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
scGAE,0.48,scGAE,scGAE,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
scGBM,0.52,scGBM,scGBM,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SPDR,0.87,SPDR,SPDR,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
pCMF,-0.14,pCMF,pCMF,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SQuaD_MDS_hybrid,0.36,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SCDRHA,0.7,SCDRHA,SCDRHA,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
TSNE,0.78,t-SNE,t-SNE,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
UMAP,0.48,UMAP,UMAP,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
VAE,0.59,VAE,VAE,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
DREAM,0.32,DREAM,DREAM,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
ZIFA,0.69,ZIFA,ZIFA,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SSNMDI,0.84,SSNMDI,SSNMDI,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
tGPLVM,0.65,tGPLVM,tGPLVM,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SQuaD_MDS,0.31,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
GLMPCA,0.48,GLMPCA,GLMPCA,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
PaCMAP,0.89,PaCMAP,PaCMAP,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
ParametricUMAP200,0.65,Parametric UMAP 200,UMAP,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
scScope,0.37,scScope,scScope,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
scvis,0.81,scvis,scvis,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
EDGE,0.38,EDGE,EDGE,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
TriMap,0.85,TriMap,TriMap,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
ParametricUMAP50,0.66,Parametric UMAP 50,UMAP,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
DRA,0.33,DRA,DRA,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SIMLR,0.95,SIMLR,SIMLR,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
SAUCIE,0.41,SAUCIE,SAUCIE,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
PCA,0.68,PCA,PCA,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
PHATE,0.78,PHATE,PHATE,simulate,cell_500,kmeans,SIL,metric\cluster\simulate\cell_500\indicators\kmeans_SIL.csv
ivis,0.05,IVIS,IVIS,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
scGAE,0.02,scGAE,scGAE,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
scGBM,0.49,scGBM,scGBM,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SPDR,0.67,SPDR,SPDR,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
pCMF,0.0,pCMF,pCMF,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SQuaD_MDS_hybrid,0.3,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SCDRHA,0.39,SCDRHA,SCDRHA,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
TSNE,0.71,t-SNE,t-SNE,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
UMAP,0.47,UMAP,UMAP,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
VAE,0.58,VAE,VAE,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
DREAM,0.06,DREAM,DREAM,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
ZIFA,0.53,ZIFA,ZIFA,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SSNMDI,-0.0,SSNMDI,SSNMDI,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
tGPLVM,0.57,tGPLVM,tGPLVM,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SQuaD_MDS,0.19,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
GLMPCA,0.42,GLMPCA,GLMPCA,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
PaCMAP,-0.0,PaCMAP,PaCMAP,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
ParametricUMAP200,0.44,Parametric UMAP 200,UMAP,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
scScope,0.0,scScope,scScope,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
scvis,0.0,scvis,scvis,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
EDGE,0.33,EDGE,EDGE,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
TriMap,0.6,TriMap,TriMap,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
ParametricUMAP50,0.58,Parametric UMAP 50,UMAP,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
DRA,-0.0,DRA,DRA,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SIMLR,0.55,SIMLR,SIMLR,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
PCA,0.52,PCA,PCA,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
PHATE,0.69,PHATE,PHATE,simulate,cell_500,louvain,ARI,metric\cluster\simulate\cell_500\indicators\louvain_ARI.csv
ivis,0.08,IVIS,IVIS,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
scGAE,0.08,scGAE,scGAE,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
scGBM,0.58,scGBM,scGBM,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SPDR,0.73,SPDR,SPDR,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
pCMF,0.03,pCMF,pCMF,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SQuaD_MDS_hybrid,0.32,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SCDRHA,0.53,SCDRHA,SCDRHA,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
TSNE,0.77,t-SNE,t-SNE,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
UMAP,0.59,UMAP,UMAP,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
VAE,0.64,VAE,VAE,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
DREAM,0.07,DREAM,DREAM,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
ZIFA,0.61,ZIFA,ZIFA,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SSNMDI,0.02,SSNMDI,SSNMDI,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
tGPLVM,0.62,tGPLVM,tGPLVM,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SQuaD_MDS,0.27,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
GLMPCA,0.54,GLMPCA,GLMPCA,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
PaCMAP,0.02,PaCMAP,PaCMAP,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
ParametricUMAP200,0.59,Parametric UMAP 200,UMAP,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
scScope,0.02,scScope,scScope,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
scvis,0.02,scvis,scvis,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
EDGE,0.41,EDGE,EDGE,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
TriMap,0.69,TriMap,TriMap,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
ParametricUMAP50,0.67,Parametric UMAP 50,UMAP,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
DRA,0.01,DRA,DRA,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SIMLR,0.66,SIMLR,SIMLR,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
SAUCIE,0.02,SAUCIE,SAUCIE,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
PCA,0.63,PCA,PCA,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
PHATE,0.74,PHATE,PHATE,simulate,cell_500,louvain,COMP,metric\cluster\simulate\cell_500\indicators\louvain_COMP.csv
ivis,0.12,IVIS,IVIS,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
scGAE,0.12,scGAE,scGAE,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
scGBM,0.8,scGBM,scGBM,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SPDR,1.0,SPDR,SPDR,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
pCMF,0.06,pCMF,pCMF,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SQuaD_MDS_hybrid,0.44,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SCDRHA,0.87,SCDRHA,SCDRHA,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
TSNE,1.0,t-SNE,t-SNE,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
UMAP,0.93,UMAP,UMAP,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
VAE,0.91,VAE,VAE,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
DREAM,0.11,DREAM,DREAM,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
ZIFA,0.91,ZIFA,ZIFA,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SSNMDI,0.02,SSNMDI,SSNMDI,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
tGPLVM,0.86,tGPLVM,tGPLVM,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SQuaD_MDS,0.39,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
GLMPCA,0.82,GLMPCA,GLMPCA,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
PaCMAP,0.02,PaCMAP,PaCMAP,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
ParametricUMAP200,0.96,Parametric UMAP 200,UMAP,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
scScope,0.03,scScope,scScope,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
scvis,0.04,scvis,scvis,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
EDGE,0.6,EDGE,EDGE,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
TriMap,0.99,TriMap,TriMap,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
ParametricUMAP50,0.97,Parametric UMAP 50,UMAP,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
DRA,0.02,DRA,DRA,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SIMLR,1.0,SIMLR,SIMLR,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
SAUCIE,0.03,SAUCIE,SAUCIE,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
PCA,0.91,PCA,PCA,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
PHATE,0.98,PHATE,PHATE,simulate,cell_500,louvain,HOMO,metric\cluster\simulate\cell_500\indicators\louvain_HOMO.csv
ivis,0.1,IVIS,IVIS,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
scGAE,0.09,scGAE,scGAE,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
scGBM,0.67,scGBM,scGBM,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SPDR,0.85,SPDR,SPDR,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
pCMF,0.04,pCMF,pCMF,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SQuaD_MDS_hybrid,0.37,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SCDRHA,0.66,SCDRHA,SCDRHA,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
TSNE,0.87,t-SNE,t-SNE,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
UMAP,0.72,UMAP,UMAP,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
VAE,0.75,VAE,VAE,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
DREAM,0.09,DREAM,DREAM,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
ZIFA,0.73,ZIFA,ZIFA,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SSNMDI,0.02,SSNMDI,SSNMDI,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
tGPLVM,0.72,tGPLVM,tGPLVM,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
GLMPCA,0.65,GLMPCA,GLMPCA,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
PaCMAP,0.02,PaCMAP,PaCMAP,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
ParametricUMAP200,0.73,Parametric UMAP 200,UMAP,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
scScope,0.02,scScope,scScope,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
scvis,0.03,scvis,scvis,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
EDGE,0.49,EDGE,EDGE,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
TriMap,0.81,TriMap,TriMap,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
ParametricUMAP50,0.79,Parametric UMAP 50,UMAP,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
DRA,0.02,DRA,DRA,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SIMLR,0.8,SIMLR,SIMLR,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
SAUCIE,0.03,SAUCIE,SAUCIE,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
PCA,0.74,PCA,PCA,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
PHATE,0.85,PHATE,PHATE,simulate,cell_500,louvain,NMI,metric\cluster\simulate\cell_500\indicators\louvain_NMI.csv
ivis,0.26,IVIS,IVIS,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
scGAE,0.4,scGAE,scGAE,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
scGBM,0.36,scGBM,scGBM,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SPDR,0.47,SPDR,SPDR,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
pCMF,-0.53,pCMF,pCMF,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SQuaD_MDS_hybrid,0.24,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SCDRHA,0.36,SCDRHA,SCDRHA,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
TSNE,0.44,t-SNE,t-SNE,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
UMAP,0.33,UMAP,UMAP,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
VAE,0.45,VAE,VAE,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
DREAM,0.2,DREAM,DREAM,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
ZIFA,0.34,ZIFA,ZIFA,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SSNMDI,0.5,SSNMDI,SSNMDI,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
tGPLVM,0.32,tGPLVM,tGPLVM,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SQuaD_MDS,0.28,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
GLMPCA,0.34,GLMPCA,GLMPCA,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
PaCMAP,0.56,PaCMAP,PaCMAP,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
ParametricUMAP200,0.41,Parametric UMAP 200,UMAP,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
scScope,0.32,scScope,scScope,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
scvis,0.44,scvis,scvis,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
EDGE,0.3,EDGE,EDGE,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
TriMap,0.41,TriMap,TriMap,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
ParametricUMAP50,0.44,Parametric UMAP 50,UMAP,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
DRA,0.26,DRA,DRA,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SIMLR,0.52,SIMLR,SIMLR,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
SAUCIE,0.3,SAUCIE,SAUCIE,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
PCA,0.33,PCA,PCA,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
PHATE,0.52,PHATE,PHATE,simulate,cell_500,louvain,SIL,metric\cluster\simulate\cell_500\indicators\louvain_SIL.csv
ivis,0.06,IVIS,IVIS,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
scGAE,0.01,scGAE,scGAE,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
scGBM,0.68,scGBM,scGBM,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SPDR,0.73,SPDR,SPDR,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
pCMF,0.0,pCMF,pCMF,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SQuaD_MDS_hybrid,0.31,SQuaD-MDS hybrid,SQuaD-MDS,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SCDRHA,0.28,SCDRHA,SCDRHA,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
TSNE,0.73,t-SNE,t-SNE,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
UMAP,0.93,UMAP,UMAP,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
VAE,0.93,VAE,VAE,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
DREAM,0.06,DREAM,DREAM,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
ZIFA,0.59,ZIFA,ZIFA,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
tGPLVM,0.7,tGPLVM,tGPLVM,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SQuaD_MDS,0.23,SQuaD-MDS,SQuaD-MDS,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
GLMPCA,0.69,GLMPCA,GLMPCA,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
PaCMAP,-0.01,PaCMAP,PaCMAP,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
ParametricUMAP200,0.96,Parametric UMAP 200,UMAP,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
scScope,-0.0,scScope,scScope,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
scvis,0.0,scvis,scvis,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
EDGE,0.5,EDGE,EDGE,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
TriMap,1.0,TriMap,TriMap,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
ParametricUMAP50,0.97,Parametric UMAP 50,UMAP,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
DRA,-0.0,DRA,DRA,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SIMLR,0.72,SIMLR,SIMLR,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,cell_500,spectral,ARI,metric\cluster\simulate\cell_500\indicators\spectral_ARI.csv
