method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
ivis,0.86,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
scGAE,0.76,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
VASC,0.81,VASC,VASC,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
scGBM,0.76,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
SPDR,0.91,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
pCMF,0.39,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
SQuaD_MDS_hybrid,0.83,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
SCDRHA,0.8,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
TSNE,0.87,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
UMAP,0.83,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
VAE,0.88,VAE,VAE,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
DREAM,0.57,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
ZIFA,0.61,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
