method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
GLMPCA,,,,,,,,,b_global_heatmap,0.679,0.529,0.7384999999999999,0.807,0.667,0.7885,0.47050000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,,,,b_global_heatmap,0.689,0.555,0.667,0.804,0.694,0.762,0.4555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,b_global_heatmap,0.6595,0.525,0.7135,0.7995000000000001,0.635,0.8005,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,b_global_heatmap,0.6275,0.4655,0.5865,0.7475,0.5854999999999999,0.835,0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,b_global_heatmap,0.6839999999999999,0.4805,0.667,0.796,0.662,0.754,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,b_global_heatmap,0.6345000000000001,0.46599999999999997,0.634,0.779,0.6085,0.782,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,b_global_heatmap,0.6445000000000001,0.423,0.6775,0.7585,0.6375,0.752,0.3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,b_global_heatmap,0.656,0.487,0.562,0.664,0.65,0.755,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,b_global_heatmap,0.5834999999999999,0.3395,0.5615,0.8215,0.5575000000000001,0.836,0.4795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,b_global_heatmap,0.606,0.3885,0.6,0.6875,0.5705,0.8125,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,b_global_heatmap,0.6285000000000001,0.3645,0.625,0.734,0.639,0.746,0.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,b_global_heatmap,0.6085,0.345,0.611,0.739,0.5825,0.7415,0.3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,b_global_heatmap,0.5974999999999999,0.2775,0.5854999999999999,0.597,0.5905,0.6935,0.2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,b_global_heatmap,0.5865,0.2815,0.5165,0.614,0.586,0.7135,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,b_global_heatmap,0.5145,0.0405,0.3605,0.485,0.512,0.654,0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,b_global_heatmap,0.5,0.0025,0.333,0.452,0.5,0.7025,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,b_global_heatmap,0.5055000000000001,0.0195,0.336,0.4265,0.503,0.592,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,,,,c_local_rank,,,,,,,,0.6994375,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,c_local_rank,,,,,,,,0.6944999999999999,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,c_local_rank,,,,,,,,0.6924374999999999,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,c_local_rank,,,,,,,,0.69175,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,c_local_rank,,,,,,,,0.6834375,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
