parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
,,,,,,c_local_rank,,,,,,SQuaD-MDS,0.5455,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,SCDRHA,0.5157,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,IVIS,0.5154,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,scGBM,0.505,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,scGAE,0.5031000000000001,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,GLMPCA,0.4958,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,VASC,0.48015833333333335,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,EDGE,0.47168144466534134,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,VAE,0.4715999999999999,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,ZIFA,0.46959999999999996,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,PCA,0.46399999999999997,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,scScope,0.45380000000000004,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,SAUCIE,0.42180308044243653,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,DREAM,0.4024,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,pCMF,0.35379999999999995,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,tGPLVM,0.35359999999999997,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,PaCMAP,0.304,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,SSNMDI,0.2942,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,DRA,0.25339999999999996,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,SQuaD-MDS,0.7679,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,scvis,0.7390000000000001,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,PCA,0.7034,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,TriMap,0.7025556539810832,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,SCDRHA,0.7017,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,ZIFA,0.6914,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,scGBM,0.6536,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,PHATE,0.6404,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,SPDR,0.6324,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,UMAP,0.629,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,VASC,0.627,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,GLMPCA,0.6268,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
