parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,Pearson,0.793,TI,combination-1,dr3,0.793
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,Pearson,0.4,TI,combination-1,dr3,0.4
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,nh_30,0.812,TI,combination-1,dr3,0.812
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,nh_30,0.666,TI,combination-1,dr3,0.666
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,nh_30,0.406,TI,combination-1,dr3,0.406
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,nh_30,0.545,TI,combination-1,dr3,0.545
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,nh_30,0.848,TI,combination-1,dr3,0.848
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,nh_30,0.776,TI,combination-1,dr3,0.776
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,nh_30,0.827,TI,combination-1,dr3,0.827
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,nh_30,0.741,TI,combination-1,dr3,0.741
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,nh_30,0.833,TI,combination-1,dr3,0.833
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,nh_30,0.795,TI,combination-1,dr3,0.795
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,nh_30,0.412,TI,combination-1,dr3,0.412
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,nh_30,0.45,TI,combination-1,dr3,0.45
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,nh_30,0.837,TI,combination-1,dr3,0.837
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,nh_30,0.515,TI,combination-1,dr3,0.515
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,nh_30,0.802,TI,combination-1,dr3,0.802
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,nh_30,0.751,TI,combination-1,dr3,0.751
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,nh_30,0.844,TI,combination-1,dr3,0.844
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,nh_30,0.66,TI,combination-1,dr3,0.66
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,nh_30,0.429,TI,combination-1,dr3,0.429
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,nh_30,0.857,TI,combination-1,dr3,0.857
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,nh_30,0.702,TI,combination-1,dr3,0.702
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,nh_30,0.82,TI,combination-1,dr3,0.82
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,nh_30,0.847,TI,combination-1,dr3,0.847
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,nh_30,0.808,TI,combination-1,dr3,0.808
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,nh_30,0.41,TI,combination-1,dr3,0.41
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,nh_30,0.834,TI,combination-1,dr3,0.834
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,nh_30,0.836,TI,combination-1,dr3,0.836
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,nh_30,0.715,TI,combination-1,dr3,0.715
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,nh_30,0.814,TI,combination-1,dr3,0.814
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,nkr_30,0.039,TI,combination-2,dr1,0.039
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,nkr_30,0.017,TI,combination-2,dr1,0.017
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,nkr_30,0.007,TI,combination-2,dr1,0.007
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,nkr_30,0.025,TI,combination-2,dr1,0.025
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,nkr_30,0.062,TI,combination-2,dr1,0.062
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,nkr_30,0.052,TI,combination-2,dr1,0.052
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,nkr_30,0.068,TI,combination-2,dr1,0.068
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,nkr_30,0.036,TI,combination-2,dr1,0.036
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,nkr_30,0.04,TI,combination-2,dr1,0.04
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,nkr_30,0.042,TI,combination-2,dr1,0.042
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,nkr_30,0.008,TI,combination-2,dr1,0.008
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,nkr_30,0.012,TI,combination-2,dr1,0.012
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,nkr_30,0.056,TI,combination-2,dr1,0.056
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,nkr_30,0.013,TI,combination-2,dr1,0.013
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,nkr_30,0.034,TI,combination-2,dr1,0.034
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,nkr_30,0.025,TI,combination-2,dr1,0.025
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,nkr_30,0.039,TI,combination-2,dr1,0.039
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,nkr_30,0.044,TI,combination-2,dr1,0.044
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,nkr_30,0.007,TI,combination-2,dr1,0.007
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,nkr_30,0.056,TI,combination-2,dr1,0.056
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,nkr_30,0.023,TI,combination-2,dr1,0.023
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,nkr_30,0.052,TI,combination-2,dr1,0.052
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,nkr_30,0.065,TI,combination-2,dr1,0.065
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,nkr_30,0.042,TI,combination-2,dr1,0.042
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,nkr_30,0.009,TI,combination-2,dr1,0.009
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,nkr_30,0.062,TI,combination-2,dr1,0.062
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,nkr_30,0.064,TI,combination-2,dr1,0.064
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,nkr_30,0.017,TI,combination-2,dr1,0.017
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,nkr_30,0.075,TI,combination-2,dr1,0.075
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,aji_30,0.02,TI,combination-2,dr1,0.02
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,aji_30,0.01,TI,combination-2,dr1,0.01
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,aji_30,0.004,TI,combination-2,dr1,0.004
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,aji_30,0.013,TI,combination-2,dr1,0.013
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,aji_30,0.034,TI,combination-2,dr1,0.034
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,aji_30,0.027,TI,combination-2,dr1,0.027
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,aji_30,0.033,TI,combination-2,dr1,0.033
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,aji_30,0.019,TI,combination-2,dr1,0.019
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,aji_30,0.02,TI,combination-2,dr1,0.02
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,aji_30,0.022,TI,combination-2,dr1,0.022
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,aji_30,0.004,TI,combination-2,dr1,0.004
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,aji_30,0.006,TI,combination-2,dr1,0.006
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,aji_30,0.028,TI,combination-2,dr1,0.028
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,aji_30,0.007,TI,combination-2,dr1,0.007
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,aji_30,0.017,TI,combination-2,dr1,0.017
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,aji_30,0.013,TI,combination-2,dr1,0.013
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,aji_30,0.02,TI,combination-2,dr1,0.02
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,aji_30,0.025,TI,combination-2,dr1,0.025
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,aji_30,0.003,TI,combination-2,dr1,0.003
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,aji_30,0.029,TI,combination-2,dr1,0.029
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,aji_30,0.012,TI,combination-2,dr1,0.012
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,aji_30,0.026,TI,combination-2,dr1,0.026
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,aji_30,0.034,TI,combination-2,dr1,0.034
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,aji_30,0.024,TI,combination-2,dr1,0.024
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,aji_30,0.005,TI,combination-2,dr1,0.005
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,aji_30,0.03,TI,combination-2,dr1,0.03
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,aji_30,0.031,TI,combination-2,dr1,0.031
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,aji_30,0.009,TI,combination-2,dr1,0.009
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,aji_30,0.034,TI,combination-2,dr1,0.034
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,random_triplet,0.605,TI,combination-2,dr1,0.605
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,random_triplet,0.675,TI,combination-2,dr1,0.675
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,random_triplet,0.512,TI,combination-2,dr1,0.512
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,random_triplet,0.612,TI,combination-2,dr1,0.612
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,random_triplet,0.652,TI,combination-2,dr1,0.652
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,random_triplet,0.588,TI,combination-2,dr1,0.588
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,random_triplet,0.589,TI,combination-2,dr1,0.589
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,random_triplet,0.556,TI,combination-2,dr1,0.556
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,random_triplet,0.574,TI,combination-2,dr1,0.574
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,random_triplet,0.592,TI,combination-2,dr1,0.592
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,random_triplet,0.511,TI,combination-2,dr1,0.511
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,random_triplet,0.594,TI,combination-2,dr1,0.594
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,random_triplet,0.584,TI,combination-2,dr1,0.584
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,random_triplet,0.589,TI,combination-2,dr1,0.589
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,random_triplet,0.634,TI,combination-2,dr1,0.634
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,random_triplet,0.537,TI,combination-2,dr1,0.537
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,random_triplet,0.576,TI,combination-2,dr1,0.576
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,random_triplet,0.558,TI,combination-2,dr1,0.558
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,random_triplet,0.495,TI,combination-2,dr1,0.495
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,random_triplet,0.61,TI,combination-2,dr1,0.61
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,random_triplet,0.648,TI,combination-2,dr1,0.648
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,random_triplet,0.612,TI,combination-2,dr1,0.612
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,random_triplet,0.605,TI,combination-2,dr1,0.605
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,random_triplet,0.636,TI,combination-2,dr1,0.636
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,random_triplet,0.508,TI,combination-2,dr1,0.508
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,random_triplet,0.586,TI,combination-2,dr1,0.586
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,random_triplet,0.591,TI,combination-2,dr1,0.591
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,random_triplet,0.765,TI,combination-2,dr1,0.765
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,random_triplet,0.622,TI,combination-2,dr1,0.622
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,spearman,0.254,TI,combination-2,dr1,0.254
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,spearman,0.624,TI,combination-2,dr1,0.624
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,spearman,0.016,TI,combination-2,dr1,0.016
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,spearman,0.362,TI,combination-2,dr1,0.362
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,spearman,0.397,TI,combination-2,dr1,0.397
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,spearman,0.218,TI,combination-2,dr1,0.218
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,spearman,0.19,TI,combination-2,dr1,0.19
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,spearman,0.083,TI,combination-2,dr1,0.083
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,spearman,0.155,TI,combination-2,dr1,0.155
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,spearman,0.209,TI,combination-2,dr1,0.209
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,spearman,0.031,TI,combination-2,dr1,0.031
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,spearman,0.245,TI,combination-2,dr1,0.245
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,spearman,0.182,TI,combination-2,dr1,0.182
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,spearman,0.346,TI,combination-2,dr1,0.346
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,spearman,0.343,TI,combination-2,dr1,0.343
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,spearman,0.172,TI,combination-2,dr1,0.172
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,spearman,0.17,TI,combination-2,dr1,0.17
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,spearman,0.243,TI,combination-2,dr1,0.243
