parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
SIMLR,kmeans,,graph,e,,,TI,muscle,,0.18,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,e,,,TI,muscle,,0.05,0.18,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,e,,,TI,muscle,,-0.01,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,e,,,TI,muscle,,0.37,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,e,,,TI,muscle,,0.05,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,e,,,TI,muscle,,0.37,0.29,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,e,,,TI,muscle,,0.325,0.305,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,e,,,TI,muscle,,0.045,0.185,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,e,,,TI,muscle,,0.21999999999999997,0.22999999999999998,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,e,,,TI,muscle,,-0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,e,,,TI,muscle,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,e,,,TI,muscle,,-0.01,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,e,,,TI,muscle,,0.31,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,e,,,TI,muscle,,0.04,0.19,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,e,,,TI,muscle,,0.41,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,e,,,TI,muscle,,0.3,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,e,,,TI,muscle,,0.05,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,e,,,TI,muscle,,0.36,0.28,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,e,,,TI,muscle,,0.24,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,e,,,TI,muscle,,0.04,0.18,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,e,,,TI,muscle,,0.27,0.27,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,e,,,TI,muscle,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,e,,,TI,muscle,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,e,,,TI,muscle,,0.01,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,e,,,TI,muscle,,0.32,0.29,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,e,,,TI,muscle,,0.04,0.19,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,e,,,TI,muscle,,0.19,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,e,,,TI,muscle,,0.01,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,e,,,TI,muscle,,0.0,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,e,,,TI,muscle,,0.01,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,e,,,TI,muscle,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,e,,,TI,muscle,,0.04,0.17,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,e,,,TI,muscle,,0.11,0.11,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,e,,,TI,muscle,,0.33,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,e,,,TI,muscle,,0.04,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,e,,,TI,muscle,,0.32,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,e,,,TI,muscle,,0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,e,,,TI,muscle,,0.01,0.06,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,e,,,TI,muscle,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,e,,,TI,muscle,,0.38,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,e,,,TI,muscle,,0.04,0.19,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,e,,,TI,muscle,,0.19,0.23,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,e,,,TI,muscle,,0.27,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,e,,,TI,muscle,,0.04,0.19,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,e,,,TI,muscle,,0.21,0.23,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,e,,,TI,muscle,,0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,e,,,TI,muscle,,-0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,e,,,TI,muscle,,-0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,e,,,TI,neuron,,0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,e,,,TI,neuron,,0.0,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,e,,,TI,neuron,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,e,,,TI,neuron,,0.23,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,e,,,TI,neuron,,0.07,0.23,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,e,,,TI,neuron,,0.15,0.23,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,e,,,TI,neuron,,0.09,0.12,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,e,,,TI,neuron,,0.03,0.12,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,e,,,TI,neuron,,0.08,0.12,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,e,,,TI,neuron,,0.41,0.5,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,e,,,TI,neuron,,0.11,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,e,,,TI,neuron,,0.33,0.48,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,e,,,TI,neuron,,0.25,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,e,,,TI,neuron,,0.07,0.28,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,e,,,TI,neuron,,0.22,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,e,,,TI,neuron,,0.33,0.28,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,e,,,TI,neuron,,0.07,0.27,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,e,,,TI,neuron,,0.22,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,e,,,TI,neuron,,0.25,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,e,,,TI,neuron,,0.09,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,e,,,TI,neuron,,0.21,0.31,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,e,,,TI,neuron,,0.01,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,e,,,TI,neuron,,0.0,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,e,,,TI,neuron,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,e,,,TI,neuron,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,e,,,TI,neuron,,0.02,0.11,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,e,,,TI,neuron,,0.02,0.03,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,e,,,TI,neuron,,0.22,0.28,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,e,,,TI,neuron,,0.07,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,e,,,TI,neuron,,0.16,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,,graph,e,,,TI,neuron,,0.19,0.24,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,e,,,TI,neuron,,0.08,0.27,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,e,,,TI,neuron,,0.3,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,e,,,TI,neuron,,0.3,0.37,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,e,,,TI,neuron,,0.09,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,e,,,TI,neuron,,0.29,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,e,,,TI,neuron,,0.16499999999999998,0.17,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,e,,,TI,neuron,,0.045,0.165,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,e,,,TI,neuron,,0.12,0.165,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,e,,,TI,neuron,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,e,,,TI,neuron,,0.0,0.03,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,e,,,TI,neuron,,0.01,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,e,,,TI,neuron,,0.3,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,e,,,TI,neuron,,0.08,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,e,,,TI,neuron,,0.35,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,e,,,TI,neuron,,0.18,0.25,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,e,,,TI,neuron,,0.07,0.25,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,e,,,TI,neuron,,0.18,0.25,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,e,,,TI,neuron,,0.07,0.11,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,e,,,TI,neuron,,0.01,0.11,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,e,,,TI,neuron,,0.1,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,e,,,TI,neuron,,0.58,0.48,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,e,,,TI,neuron,,0.11,0.37,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,e,,,TI,neuron,,0.3,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,e,,,TI,neuron,,0.2,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,e,,,TI,neuron,,0.05,0.2,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,e,,,TI,neuron,,0.14,0.2,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,e,,,TI,neuron,,0.07,0.1,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,e,,,TI,neuron,,0.01,0.09,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,e,,,TI,neuron,,0.07,0.1,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,e,,,TI,neuron,,0.03,0.07,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,e,,,TI,neuron,,0.04,0.16,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,e,,,TI,neuron,,0.01,0.06,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,e,,,TI,neuron,,0.42,0.52,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,e,,,TI,neuron,,0.1,0.4,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,e,,,TI,neuron,,0.33,0.48,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,e,,,TI,neuron,,0.07,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,e,,,TI,neuron,,0.03,0.11,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,e,,,TI,neuron,,0.07,0.09,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,e,,,TI,neuron,,0.28,0.24,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,e,,,TI,neuron,,0.04,0.2,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,e,,,TI,neuron,,0.18,0.24,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,e,,,TI,neuron,,0.36,0.46,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,e,,,TI,neuron,,0.11,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,e,,,TI,neuron,,0.32,0.44,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,e,,,TI,neuron,,0.01,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,e,,,TI,neuron,,-0.0,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,e,,,TI,neuron,,0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,e,,,TI,pair-1,,-0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,e,,,TI,pair-1,,-0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,e,,,TI,pair-1,,-0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,e,,,TI,pair-1,,0.22,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,e,,,TI,pair-1,,0.02,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,e,,,TI,pair-1,,0.18,0.37,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,e,,,TI,pair-1,,0.13,0.22,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,e,,,TI,pair-1,,0.01,0.2,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,e,,,TI,pair-1,,0.12,0.24,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,e,,,TI,pair-1,,0.39,0.56,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,e,,,TI,pair-1,,0.02,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,e,,,TI,pair-1,,0.27,0.52,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,e,,,TI,pair-1,,0.24,0.45,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,e,,,TI,pair-1,,0.02,0.28,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,e,,,TI,pair-1,,0.24,0.44,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,e,,,TI,pair-1,,0.39,0.44,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,e,,,TI,pair-1,,0.02,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,e,,,TI,pair-1,,0.18,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,e,,,TI,pair-1,,0.44,0.55,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,e,,,TI,pair-1,,0.02,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,e,,,TI,pair-1,,0.27,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,e,,,TI,pair-1,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,e,,,TI,pair-1,,0.0,0.03,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,e,,,TI,pair-1,,0.02,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,e,,,TI,pair-1,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,e,,,TI,pair-1,,0.0,0.04,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,e,,,TI,pair-1,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,e,,,TI,pair-1,,0.4,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,e,,,TI,pair-1,,0.02,0.29,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,e,,,TI,pair-1,,0.26,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,e,,,TI,pair-1,,0.29,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,e,,,TI,pair-1,,0.02,0.31,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,e,,,TI,pair-1,,0.26,0.48,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,e,,,TI,pair-1,,0.18,0.315,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,e,,,TI,pair-1,,0.015,0.24000000000000002,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,e,,,TI,pair-1,,0.155,0.305,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,e,,,TI,pair-1,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,e,,,TI,pair-1,,0.0,0.03,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,e,,,TI,pair-1,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,e,,,TI,pair-1,,0.31,0.52,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,e,,,TI,pair-1,,0.02,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,e,,,TI,pair-1,,0.28,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,e,,,TI,pair-1,,0.29,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,e,,,TI,pair-1,,0.02,0.29,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,e,,,TI,pair-1,,0.34,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,e,,,TI,pair-1,,0.22,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,e,,,TI,pair-1,,0.02,0.29,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,e,,,TI,pair-1,,0.2,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,e,,,TI,pair-1,,0.38,0.55,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,e,,,TI,pair-1,,0.02,0.31,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,e,,,TI,pair-1,,0.24,0.46,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,e,,,TI,pair-1,,0.27,0.37,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,e,,,TI,pair-1,,0.02,0.25,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,e,,,TI,pair-1,,0.17,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,e,,,TI,pair-1,,0.05,0.06,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,e,,,TI,pair-1,,0.01,0.1,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,e,,,TI,pair-1,,0.04,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,e,,,TI,pair-1,,0.14,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,e,,,TI,pair-1,,0.01,0.25,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,e,,,TI,pair-1,,0.25,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,e,,,TI,pair-1,,0.38,0.55,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,e,,,TI,pair-1,,0.02,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,e,,,TI,pair-1,,0.25,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,e,,,TI,pair-1,,0.14,0.24,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,e,,,TI,pair-1,,0.02,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,e,,,TI,pair-1,,0.12,0.25,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,e,,,TI,pair-1,,0.4,0.51,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,e,,,TI,pair-1,,0.02,0.31,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,e,,,TI,pair-1,,0.19,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,e,,,TI,pair-1,,0.23,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,e,,,TI,pair-1,,0.02,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,e,,,TI,pair-1,,0.37,0.57,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,e,,,TI,pair-1,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,e,,,TI,pair-1,,0.0,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,e,,,TI,pair-1,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,e,,,TI,pair-2,,-0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,e,,,TI,pair-2,,-0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,e,,,TI,pair-2,,-0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,e,,,TI,pair-2,,0.03,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,e,,,TI,pair-2,,0.0,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,e,,,TI,pair-2,,0.02,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,e,,,TI,pair-2,,0.01,0.05,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,e,,,TI,pair-2,,0.0,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,e,,,TI,pair-2,,0.02,0.07,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,e,,,TI,pair-2,,0.24,0.5,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,e,,,TI,pair-2,,0.02,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,e,,,TI,pair-2,,0.14,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,e,,,TI,pair-2,,0.08,0.27,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,e,,,TI,pair-2,,0.01,0.22,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,e,,,TI,pair-2,,0.06,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,e,,,TI,pair-2,,0.48,0.5,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,e,,,TI,pair-2,,0.01,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,e,,,TI,pair-2,,0.14,0.43,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,e,,,TI,pair-2,,0.15,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,e,,,TI,pair-2,,0.02,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
