parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
DREAM,louvain,,deep,d,,,SIMLR,Pollen,0.88,,,,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,d,,,SIMLR,Pollen,0.81,,,,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,d,,,SIMLR,Pollen,0.92,,,,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,d,,,SIMLR,Pollen,0.86,,,,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,d,,,SIMLR,Pollen,0.86,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,d,,,SIMLR,Pollen,0.78,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,d,,,SIMLR,Pollen,0.57,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,d,,,SIMLR,Pollen,0.65,,,,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,d,,,SIMLR,Pollen,0.55,,,,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,d,,,SIMLR,Pollen,0.57,,,,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,d,,,SIMLR,Pollen,0.49,,,,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,d,,,SIMLR,Pollen,0.65,,,,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,d,,,SIMLR,Pollen,0.59,,,,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,d,,,SIMLR,Pollen,0.59,,,,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,d,,,SIMLR,Pollen,0.67,,,,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,d,,,SIMLR,Pollen,0.62,,,,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,d,,,SIMLR,Pollen,0.58,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,d,,,SIMLR,Pollen,0.18,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,d,,,SIMLR,Pollen,0.19,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,d,,,SIMLR,Pollen,0.19,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,d,,,SIMLR,Pollen,0.15,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,d,,,SIMLR,Pollen,0.2,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,d,,,SIMLR,Pollen,0.15,,,,,,,,,,,,,,,,,,,,,,
