objective,method_id,row_index,family_short,local,local_symbol,local_class,global,global_symbol,global_class,kmeans,kmeans_symbol,kmeans_class,runtime_5000,runtime_5000_label,runtime_5000_class,memory_5000,memory_5000_label,memory_5000_class,runtime_20000,runtime_20000_label,runtime_20000_class,memory_20000,memory_20000_label,memory_20000_class,runtime_50000,runtime_50000_label,runtime_50000_class,memory_50000,memory_50000_label,memory_50000_class,dropout,dropout_symbol,dropout_class,batch,batch_symbol,batch_class
Large scale,PHATE,15,graph,0.5686017316082013,±,medium,0.6554083269367512,±,medium,0.6026995685005394,±,medium,18.7085,19s,good,0.504,516M,good,50.7408,51s,good,0.831,851M,good,247.3897,4m,medium,1.563,1.6G,medium,0.6941392720671452,±,medium,0.7635522731182207,+,good
Noise,TriMap,16,metric,0.6032353265399039,±,medium,0.6994661169262986,±,medium,0.6135668201808979,±,medium,5.2514,5s,good,0.345,353M,good,16.5012,17s,good,0.62,635M,good,41.2584,41s,good,1.158,1.2G,medium,0.8094005723587481,+,good,0.8191835918517567,+,good
Noise,SPDR,17,graph,0.6091308881853755,±,medium,0.6376890721367113,±,medium,0.6051493963156584,±,medium,111.9396,2m,medium,0.698,715M,good,1317.4856,22m,medium,1.935,1.9G,medium,8019.0221,>2h,poor,4.257,4.3G,medium,0.7894464974567726,+,good,0.8250916654117788,+,good
Noise,t-SNE,18,metric,0.5814595153513493,±,medium,0.5970260528389916,±,medium,0.6069200273836196,±,medium,13.933,14s,good,0.266,272M,good,81.9,1m,medium,0.752,770M,good,264.369,4m,medium,1.912,1.9G,medium,0.718298695448338,+,good,0.7988032095216566,+,good
Noise,UMAP,19,graph,0.5957865069885228,±,medium,0.6314566903197647,±,medium,0.5787030536884906,±,medium,18.2254,18s,good,0.902,924M,good,21.0645,21s,good,1.339,1.3G,medium,33.1832,33s,good,2.286,2.3G,medium,0.7363175599173759,+,good,0.7406210252556327,+,good
Balanced,TriMap,20,metric,0.6032353265399039,±,medium,0.6994661169262986,±,medium,0.6135668201808979,±,medium,5.2514,5s,good,0.345,353M,good,16.5012,17s,good,0.62,635M,good,41.2584,41s,good,1.158,1.2G,medium,0.8094005723587481,+,good,0.8191835918517567,+,good
Balanced,UMAP,21,graph,0.5957865069885228,±,medium,0.6314566903197647,±,medium,0.5787030536884906,±,medium,18.2254,18s,good,0.902,924M,good,21.0645,21s,good,1.339,1.3G,medium,33.1832,33s,good,2.286,2.3G,medium,0.7363175599173759,+,good,0.7406210252556327,+,good
Balanced,t-SNE,22,metric,0.5814595153513493,±,medium,0.5970260528389916,±,medium,0.6069200273836196,±,medium,13.933,14s,good,0.266,272M,good,81.9,1m,medium,0.752,770M,good,264.369,4m,medium,1.912,1.9G,medium,0.718298695448338,+,good,0.7988032095216566,+,good
Balanced,PHATE,23,graph,0.5686017316082013,±,medium,0.6554083269367512,±,medium,0.6026995685005394,±,medium,18.7085,19s,good,0.504,516M,good,50.7408,51s,good,0.831,851M,good,247.3897,4m,medium,1.563,1.6G,medium,0.6941392720671452,±,medium,0.7635522731182207,+,good
Balanced,SPDR,24,graph,0.6091308881853755,±,medium,0.6376890721367113,±,medium,0.6051493963156584,±,medium,111.9396,2m,medium,0.698,715M,good,1317.4856,22m,medium,1.935,1.9G,medium,8019.0221,>2h,poor,4.257,4.3G,medium,0.7894464974567726,+,good,0.8250916654117788,+,good
