method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit,family_short,method_order
scvis,scvis,scvis,30000,1.095,4009.07,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,30000,1.09,5.245,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,30000,1.09,128.055,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,30000,2.098,335.915,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,30000,2.258,169.623,efficiency,,,,,,,,,,linear,5
EDGE,EDGE,EDGE,30000,13.393,2286.593,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,30000,0.953,190.8559,efficiency,,,,,,,,,,linear,7
DREAM,DREAM,DREAM,30000,14.564,3291.2063,efficiency,,,,,,,,,,deep,15
SCDRHA,SCDRHA,SCDRHA,30000,112.055,3607.1984,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,30000,71.689,3407.1552,efficiency,,,,,,,,,,deep,14
pCMF,pCMF,pCMF,30000,2.001,8074.227,efficiency,,,,,,,,,,linear,3
ZIFA,ZIFA,ZIFA,30000,4.266,3793.4307,efficiency,,,,,,,,,,linear,4
VASC,VASC,VASC,30000,1.886,10333.3334,efficiency,,,,,,,,,,deep,10
SSNMDI,SSNMDI,SSNMDI,30000,10.657,12040.6073,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,500,0.317,1.8917,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,500,0.271,5.2896,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,500,0.729,7.8606,efficiency,,,,,,,,,,graph,17
SCDRHA,SCDRHA,SCDRHA,500,0.681,19.1957,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,500,0.566,8.325,efficiency,,,,,,,,,,deep,14
VASC,VASC,VASC,500,0.301,236.1364,efficiency,,,,,,,,,,deep,10
PHATE,PHATE,PHATE,500,0.179,1.1761,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,500,0.38,41.7908,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,500,0.569,22.022,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,500,0.613,6.0299,efficiency,,,,,,,,,,metric,22
ZIFA,ZIFA,ZIFA,500,0.193,74.6027,efficiency,,,,,,,,,,linear,4
scScope,scScope,scScope,500,0.562,12.233,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,500,0.281,1.7598,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,500,0.351,11.9595,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,500,0.25,2.7955,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,500,1.113,60.585,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,500,0.274,1832.4837,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,500,0.122,0.218,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,500,0.128,1.127,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,500,0.133,1.656,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,500,0.284,2.591,efficiency,,,,,,,,,,linear,5
SIMLR,SIMLR,SIMLR,500,0.909,63.242,efficiency,,,,,,,,,,graph,18
EDGE,EDGE,EDGE,500,2.859,3.77,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,500,0.586,173.8073,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,500,0.154,196.407,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,500,1.405,13.0543,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,5000,0.338,2.1008,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,5000,0.361,49.1924,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,5000,0.902,18.2254,efficiency,,,,,,,,,,graph,17
SCDRHA,SCDRHA,SCDRHA,5000,4.447,114.9631,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,5000,2.841,109.2785,efficiency,,,,,,,,,,deep,14
VASC,VASC,VASC,5000,0.587,1612.6928,efficiency,,,,,,,,,,deep,10
PHATE,PHATE,PHATE,5000,0.504,18.7085,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,5000,0.527,490.9225,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,5000,0.732,138.3776,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,5000,0.727,17.9125,efficiency,,,,,,,,,,metric,22
ZIFA,ZIFA,ZIFA,5000,0.824,624.1608,efficiency,,,,,,,,,,linear,4
scScope,scScope,scScope,5000,0.992,131.6594,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,5000,0.345,5.2514,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,5000,0.698,111.9396,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,5000,0.36,12.0148,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,5000,1.149,242.9155,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,5000,0.404,2052.3041,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,5000,0.261,2.03,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,5000,0.266,13.933,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,5000,0.443,18.088,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,5000,0.591,37.756,efficiency,,,,,,,,,,linear,5
SIMLR,SIMLR,SIMLR,5000,36.338,6701.459,efficiency,,,,,,,,,,graph,18
EDGE,EDGE,EDGE,5000,3.212,88.257,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,5000,0.623,180.6193,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,5000,0.454,1397.16,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,5000,2.122,359.1581,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,50000,0.838,2.9545,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,50000,1.384,617.2955,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,50000,2.286,33.1832,efficiency,,,,,,,,,,graph,17
PHATE,PHATE,PHATE,50000,1.563,247.3897,efficiency,,,,,,,,,,graph,19
VAE,VAE,VAE,50000,2.357,1377.7144,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,50000,1.369,277.5137,efficiency,,,,,,,,,,metric,22
TriMap,TriMap,TriMap,50000,1.158,41.2584,efficiency,,,,,,,,,,metric,25
PaCMAP,PaCMAP,PaCMAP,50000,1.515,103.9398,efficiency,,,,,,,,,,metric,23
DRA,DRA,DRA,50000,1.317,4911.1828,efficiency,,,,,,,,,,deep,16
PCA,PCA,PCA,50000,2.195,9.198,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,50000,1.912,264.369,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,50000,3.676,433.37,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,50000,3.369,343.0,efficiency,,,,,,,,,,linear,5
tGPLVM,tGPLVM,tGPLVM,50000,1.442,198.8041,efficiency,,,,,,,,,,linear,7
VASC,VASC,VASC,50000,2.952,17233.7631,efficiency,,,,,,,,,,deep,10
SPDR,SPDR,SPDR,50000,4.257,8019.0221,efficiency,,,,,,,,,,graph,21
scScope,scScope,scScope,50000,2.87,1465.8099,efficiency,,,,,,,,,,deep,12
pCMF,pCMF,pCMF,50000,3.465,12988.65,efficiency,,,,,,,,,,linear,3
EDGE,EDGE,EDGE,50000,31.582,6291.383,efficiency,,,,,,,,,,graph,20
scvis,scvis,scvis,50000,1.701,6552.7855,efficiency,,,,,,,,,,deep,9
ZIFA,ZIFA,ZIFA,50000,7.032,8466.2815,efficiency,,,,,,,,,,linear,4
SAUCIE,SAUCIE,SAUCIE,73233,1.189,3.5225,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,73233,1.849,996.3987,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,73233,3.183,44.8445,efficiency,,,,,,,,,,graph,17
PHATE,PHATE,PHATE,73233,2.195,549.2445,efficiency,,,,,,,,,,graph,19
ivis,IVIS,IVIS,73233,1.673,197.2723,efficiency,,,,,,,,,,metric,22
DRA,DRA,DRA,73233,1.768,7192.8711,efficiency,,,,,,,,,,deep,16
TriMap,TriMap,TriMap,73233,1.569,64.3344,efficiency,,,,,,,,,,metric,25
PaCMAP,PaCMAP,PaCMAP,73233,2.05,156.4359,efficiency,,,,,,,,,,metric,23
