method_order,method_id,family,local,global,kmeans,louvain,spectral,runtime_score,memory_score,stability_median,overall_mean,cell_number,gene_number,celltype_number,dropout,batch_number,batch_strength,de_prob,de_strength,out
14,scGAE,deep generative/autoencoder,0.5220747406710486,0.5828678666177501,0.4827543461123558,0.4772822399417915,0.506410405508724,0.9170793208350828,0.666807275551742,0.2673444803659,0.4210726284247049,0.2211997949101027,0.3565150256612074,0.1515441051291794,0.2673444803659,0.2081469963111117,0.3050483666065271,0.4754572927288455,0.4396663030061963,0.156963494837715
15,DREAM,deep generative/autoencoder,0.4449436645114304,0.578288297939532,0.4625721309434902,0.4097234622564074,0.4680473162542483,0.8934219566326963,0.7942985167755877,0.3235436553975042,0.4426571028170286,0.3868709964941035,0.3235436553975042,0.1811034999131814,0.2134687825421119,0.257775928128298,0.368884767479779,0.4949174840828475,0.6141487135099762,0.1905044722112623
16,DRA,deep generative/autoencoder,0.2032679503681033,0.3012807288211149,0.1628000892042154,0.1481927539176749,0.1630912245308264,0.8267488989935681,0.9598833770821812,0.1419303280015415,0.2533899982627054,0.1819214075638106,0.1373449176630851,0.1875914892994396,0.151570266462682,0.147953049652695,0.1007853580402549,0.1419303280015415,0.1176418813541649,0.1222362512479286
17,UMAP,graph/diffusion,0.5957865069885228,0.6314566903197647,0.5787030536884906,0.4999207162134989,0.582214695749356,0.9936113792499618,0.9061862458457284,0.7220519657722203,0.7020324184648239,0.6089159144944561,0.792892252378319,0.6422903630249431,0.7363175599173759,0.7220519657722203,0.759190084739045,0.6901080755128179,0.6963852222777615,0.7964879692649194
18,SIMLR,graph/diffusion,0.5701726284325269,0.5683413368040419,0.6118213617765522,0.5345937007100237,0.5765694781903007,0.6622925247969618,0.3675259205837353,0.779467033975275,0.6763450593541998,0.6463512875046347,0.8339158577271562,0.750278846631177,0.7406136202267539,0.7423980902247473,0.8242509485181703,0.779467033975275,0.7800808996620665,0.8328474139030719
19,PHATE,graph/diffusion,0.5686017316082013,0.6554083269367512,0.6026995685005394,0.4922520682469142,0.5773967551996035,0.9931611324102574,0.9808039705501868,0.7599223856597612,0.7234169814967952,0.6429055983048865,0.7826248320961792,0.749372778976643,0.6941392720671452,0.7599223856597612,0.7671821605766802,0.7579157810107363,0.7724421003249077,0.7778432414793324
20,EDGE,graph/diffusion,0.4892786262126192,0.5180693200922843,0.4864847730478798,0.4551393288661315,0.4828766031751619,0.8648948226156898,0.3983277516129182,0.6387207073474909,0.5835930721157682,0.5604993384057282,0.7081746564497402,0.4188429835647847,0.5626324737591465,0.6190506010744925,0.6387207073474909,0.6944008778792343,0.6764602885499007,0.7636360011990888
21,SPDR,graph/diffusion,0.6091308881853755,0.6376890721367113,0.6051493963156584,0.5092824021856938,0.5900624458157059,0.8109677130866199,0.9385200189987768,0.8100189879941458,0.7400553279056139,0.6548306863329899,0.8167994271478541,0.8100189879941458,0.7894464974567726,0.8324435837852139,0.8177397470383436,0.7926978560829233,0.8089075695904608,0.8171989543365763
22,IVIS,metric/structure-aware,0.522776027319176,0.6203183422116902,0.5485191477885653,0.4732902158297239,0.5624134811145792,0.993505958886628,0.9295381970455028,0.4683533702780085,0.5626180617269411,0.4683533702780085,0.5682257415122134,0.221812347818233,0.5182357373670781,0.4341491498020683,0.4331397983287862,0.6317294930547971,0.6855678435255076,0.3903141357484999
23,PaCMAP,metric/structure-aware,0.2954157800739314,0.3666837378551715,0.3068713903410505,0.2865888370401018,0.29829435486093,0.9961603460946472,0.9771872503316348,0.1581152240832739,0.3155577092786158,0.2071673356444183,0.1334685120355541,0.1948014347301294,0.1581152240832739,0.1834208111661175,0.2174111308092464,0.1519540332833528,0.1377959816480609,0.1375871884602335
24,t-SNE,metric/structure-aware,0.5814595153513493,0.5970260528389916,0.6069200273836196,0.5390343100771523,0.6274086146383676,0.9929750473195488,0.9911861838309288,0.780537852726464,0.7411426175706313,0.6542926573754787,0.7935450983057611,0.8056197974930152,0.7235148382366041,0.8165936552708422,0.780537852726464,0.7750038308639234,0.7733923785576687,0.7997720208603856
25,TriMap,metric/structure-aware,0.6032353265399039,0.6994661169262986,0.6135668201808979,0.5206517457613115,0.6070360566757272,0.998206875584548,0.9765433241464891,0.8205474864344582,0.7681472501279613,0.6792621235375167,0.8492088931577124,0.8252921848601374,0.8094005723587481,0.8365248105593526,0.801842373144161,0.8097433296149926,0.8205474864344582,0.8398279625651262
26,SQuaD-MDS,metric/structure-aware,0.5398925997396424,0.7864235049042944,0.4533303667745416,0.4244903549381937,0.4645303627141308,0.9800019541209342,0.976455675889568,0.4752298654418079,0.5622242072080099,0.4671226861085856,0.4754650903292061,0.4226027026753157,0.4752298654418079,0.4594185423798008,0.4697362579981687,0.4957267267390344,0.6156485803006898,0.4895120442742449
