method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
ivis,0.43,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,SIL
scGAE,0.56,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,SIL
VASC,0.67,VASC,VASC,benchmarker,Baron_mouse,kmeans,SIL
scGBM,0.42,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,SIL
SPDR,0.65,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,SIL
pCMF,0.53,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,SIL
SQuaD_MDS_hybrid,0.51,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,SIL
SCDRHA,0.68,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,SIL
TSNE,0.53,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,SIL
UMAP,0.6,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,SIL
VAE,0.5,VAE,VAE,benchmarker,Baron_mouse,kmeans,SIL
DREAM,0.34,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,SIL
ZIFA,0.4,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,SIL
SSNMDI,0.6,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,SIL
tGPLVM,0.45,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,SIL
SQuaD_MDS,0.37,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,SIL
GLMPCA,0.42,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,SIL
PaCMAP,0.71,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,SIL
ParametricUMAP200,0.69,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,SIL
scScope,0.54,scScope,scScope,benchmarker,Baron_mouse,kmeans,SIL
scvis,0.46,scvis,scvis,benchmarker,Baron_mouse,kmeans,SIL
EDGE,0.4,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,SIL
