method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
tGPLVM,0.43,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,kmeans,HOMO
SQuaD_MDS,0.59,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,kmeans,HOMO
GLMPCA,0.6,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,kmeans,HOMO
PaCMAP,0.52,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,kmeans,HOMO
ParametricUMAP200,0.72,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,kmeans,HOMO
scScope,0.45,scScope,scScope,scDesign3,SCGEMRNA,kmeans,HOMO
scvis,0.74,scvis,scvis,scDesign3,SCGEMRNA,kmeans,HOMO
EDGE,0.7,EDGE,EDGE,scDesign3,SCGEMRNA,kmeans,HOMO
TriMap,0.7,TriMap,TriMap,scDesign3,SCGEMRNA,kmeans,HOMO
ParametricUMAP50,0.74,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,kmeans,HOMO
DRA,0.01,DRA,DRA,scDesign3,SCGEMRNA,kmeans,HOMO
SIMLR,0.4,SIMLR,SIMLR,scDesign3,SCGEMRNA,kmeans,HOMO
SAUCIE,0.7,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,kmeans,HOMO
PCA,0.64,PCA,PCA,scDesign3,SCGEMRNA,kmeans,HOMO
PHATE,0.74,PHATE,PHATE,scDesign3,SCGEMRNA,kmeans,HOMO
ivis,0.48,IVIS,IVIS,scDesign3,SCGEMRNA,kmeans,NMI
scGAE,0.72,scGAE,scGAE,scDesign3,SCGEMRNA,kmeans,NMI
VASC,0.52,VASC,VASC,scDesign3,SCGEMRNA,kmeans,NMI
scGBM,0.66,scGBM,scGBM,scDesign3,SCGEMRNA,kmeans,NMI
SPDR,0.72,SPDR,SPDR,scDesign3,SCGEMRNA,kmeans,NMI
pCMF,0.28,pCMF,pCMF,scDesign3,SCGEMRNA,kmeans,NMI
SQuaD_MDS_hybrid,0.7,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,kmeans,NMI
SCDRHA,0.67,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,kmeans,NMI
TSNE,0.65,t-SNE,t-SNE,scDesign3,SCGEMRNA,kmeans,NMI
UMAP,0.67,UMAP,UMAP,scDesign3,SCGEMRNA,kmeans,NMI
VAE,0.63,VAE,VAE,scDesign3,SCGEMRNA,kmeans,NMI
DREAM,0.39,DREAM,DREAM,scDesign3,SCGEMRNA,kmeans,NMI
ZIFA,0.66,ZIFA,ZIFA,scDesign3,SCGEMRNA,kmeans,NMI
SSNMDI,0.41,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,kmeans,NMI
tGPLVM,0.47,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,kmeans,NMI
SQuaD_MDS,0.59,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,kmeans,NMI
GLMPCA,0.63,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,kmeans,NMI
PaCMAP,0.52,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,kmeans,NMI
ParametricUMAP200,0.72,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,kmeans,NMI
scScope,0.45,scScope,scScope,scDesign3,SCGEMRNA,kmeans,NMI
scvis,0.75,scvis,scvis,scDesign3,SCGEMRNA,kmeans,NMI
EDGE,0.7,EDGE,EDGE,scDesign3,SCGEMRNA,kmeans,NMI
TriMap,0.71,TriMap,TriMap,scDesign3,SCGEMRNA,kmeans,NMI
ParametricUMAP50,0.74,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,kmeans,NMI
DRA,0.02,DRA,DRA,scDesign3,SCGEMRNA,kmeans,NMI
SIMLR,0.4,SIMLR,SIMLR,scDesign3,SCGEMRNA,kmeans,NMI
SAUCIE,0.7,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,kmeans,NMI
PCA,0.66,PCA,PCA,scDesign3,SCGEMRNA,kmeans,NMI
PHATE,0.74,PHATE,PHATE,scDesign3,SCGEMRNA,kmeans,NMI
ivis,0.41,IVIS,IVIS,scDesign3,SCGEMRNA,kmeans,SIL
scGAE,0.56,scGAE,scGAE,scDesign3,SCGEMRNA,kmeans,SIL
VASC,0.73,VASC,VASC,scDesign3,SCGEMRNA,kmeans,SIL
scGBM,0.59,scGBM,scGBM,scDesign3,SCGEMRNA,kmeans,SIL
SPDR,0.61,SPDR,SPDR,scDesign3,SCGEMRNA,kmeans,SIL
pCMF,0.45,pCMF,pCMF,scDesign3,SCGEMRNA,kmeans,SIL
SQuaD_MDS_hybrid,0.46,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,kmeans,SIL
SCDRHA,0.67,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,kmeans,SIL
TSNE,0.49,t-SNE,t-SNE,scDesign3,SCGEMRNA,kmeans,SIL
UMAP,0.53,UMAP,UMAP,scDesign3,SCGEMRNA,kmeans,SIL
VAE,0.54,VAE,VAE,scDesign3,SCGEMRNA,kmeans,SIL
DREAM,0.38,DREAM,DREAM,scDesign3,SCGEMRNA,kmeans,SIL
ZIFA,0.56,ZIFA,ZIFA,scDesign3,SCGEMRNA,kmeans,SIL
SSNMDI,0.68,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,kmeans,SIL
tGPLVM,0.48,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,kmeans,SIL
SQuaD_MDS,0.38,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,kmeans,SIL
GLMPCA,0.58,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,kmeans,SIL
PaCMAP,0.6,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,kmeans,SIL
ParametricUMAP200,0.62,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,kmeans,SIL
scScope,0.47,scScope,scScope,scDesign3,SCGEMRNA,kmeans,SIL
scvis,0.47,scvis,scvis,scDesign3,SCGEMRNA,kmeans,SIL
EDGE,0.6,EDGE,EDGE,scDesign3,SCGEMRNA,kmeans,SIL
TriMap,0.63,TriMap,TriMap,scDesign3,SCGEMRNA,kmeans,SIL
ParametricUMAP50,0.6,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,kmeans,SIL
DRA,0.5,DRA,DRA,scDesign3,SCGEMRNA,kmeans,SIL
SIMLR,0.55,SIMLR,SIMLR,scDesign3,SCGEMRNA,kmeans,SIL
SAUCIE,0.48,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,kmeans,SIL
PCA,0.46,PCA,PCA,scDesign3,SCGEMRNA,kmeans,SIL
PHATE,0.62,PHATE,PHATE,scDesign3,SCGEMRNA,kmeans,SIL
ivis,0.43,IVIS,IVIS,scDesign3,SCGEMRNA,louvain,ARI
scGAE,0.55,scGAE,scGAE,scDesign3,SCGEMRNA,louvain,ARI
VASC,0.28,VASC,VASC,scDesign3,SCGEMRNA,louvain,ARI
scGBM,0.48,scGBM,scGBM,scDesign3,SCGEMRNA,louvain,ARI
SPDR,0.45,SPDR,SPDR,scDesign3,SCGEMRNA,louvain,ARI
pCMF,0.21,pCMF,pCMF,scDesign3,SCGEMRNA,louvain,ARI
SQuaD_MDS_hybrid,0.5,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,ARI
SCDRHA,0.63,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,louvain,ARI
TSNE,0.53,t-SNE,t-SNE,scDesign3,SCGEMRNA,louvain,ARI
UMAP,0.46,UMAP,UMAP,scDesign3,SCGEMRNA,louvain,ARI
VAE,0.51,VAE,VAE,scDesign3,SCGEMRNA,louvain,ARI
DREAM,0.22,DREAM,DREAM,scDesign3,SCGEMRNA,louvain,ARI
ZIFA,0.42,ZIFA,ZIFA,scDesign3,SCGEMRNA,louvain,ARI
SSNMDI,0.3,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,louvain,ARI
tGPLVM,0.3,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,louvain,ARI
SQuaD_MDS,0.48,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,ARI
GLMPCA,0.46,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,louvain,ARI
PaCMAP,0.32,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,louvain,ARI
ParametricUMAP200,0.54,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,louvain,ARI
scScope,0.35,scScope,scScope,scDesign3,SCGEMRNA,louvain,ARI
scvis,0.58,scvis,scvis,scDesign3,SCGEMRNA,louvain,ARI
EDGE,0.58,EDGE,EDGE,scDesign3,SCGEMRNA,louvain,ARI
TriMap,0.53,TriMap,TriMap,scDesign3,SCGEMRNA,louvain,ARI
ParametricUMAP50,0.47,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,louvain,ARI
DRA,-0.01,DRA,DRA,scDesign3,SCGEMRNA,louvain,ARI
SIMLR,0.36,SIMLR,SIMLR,scDesign3,SCGEMRNA,louvain,ARI
SAUCIE,0.58,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,louvain,ARI
PCA,0.47,PCA,PCA,scDesign3,SCGEMRNA,louvain,ARI
PHATE,0.51,PHATE,PHATE,scDesign3,SCGEMRNA,louvain,ARI
ivis,0.51,IVIS,IVIS,scDesign3,SCGEMRNA,louvain,COMP
scGAE,0.6,scGAE,scGAE,scDesign3,SCGEMRNA,louvain,COMP
VASC,0.41,VASC,VASC,scDesign3,SCGEMRNA,louvain,COMP
scGBM,0.56,scGBM,scGBM,scDesign3,SCGEMRNA,louvain,COMP
SPDR,0.55,SPDR,SPDR,scDesign3,SCGEMRNA,louvain,COMP
pCMF,0.29,pCMF,pCMF,scDesign3,SCGEMRNA,louvain,COMP
SQuaD_MDS_hybrid,0.55,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,COMP
SCDRHA,0.63,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,louvain,COMP
TSNE,0.58,t-SNE,t-SNE,scDesign3,SCGEMRNA,louvain,COMP
UMAP,0.54,UMAP,UMAP,scDesign3,SCGEMRNA,louvain,COMP
VAE,0.55,VAE,VAE,scDesign3,SCGEMRNA,louvain,COMP
DREAM,0.34,DREAM,DREAM,scDesign3,SCGEMRNA,louvain,COMP
ZIFA,0.51,ZIFA,ZIFA,scDesign3,SCGEMRNA,louvain,COMP
SSNMDI,0.39,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,louvain,COMP
tGPLVM,0.41,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,louvain,COMP
SQuaD_MDS,0.52,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,COMP
GLMPCA,0.53,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,louvain,COMP
PaCMAP,0.44,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,louvain,COMP
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,louvain,COMP
scScope,0.45,scScope,scScope,scDesign3,SCGEMRNA,louvain,COMP
scvis,0.61,scvis,scvis,scDesign3,SCGEMRNA,louvain,COMP
EDGE,0.63,EDGE,EDGE,scDesign3,SCGEMRNA,louvain,COMP
TriMap,0.59,TriMap,TriMap,scDesign3,SCGEMRNA,louvain,COMP
ParametricUMAP50,0.57,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,louvain,COMP
DRA,0.03,DRA,DRA,scDesign3,SCGEMRNA,louvain,COMP
SIMLR,0.42,SIMLR,SIMLR,scDesign3,SCGEMRNA,louvain,COMP
SAUCIE,0.62,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,louvain,COMP
PCA,0.54,PCA,PCA,scDesign3,SCGEMRNA,louvain,COMP
PHATE,0.57,PHATE,PHATE,scDesign3,SCGEMRNA,louvain,COMP
ivis,0.64,IVIS,IVIS,scDesign3,SCGEMRNA,louvain,HOMO
scGAE,0.75,scGAE,scGAE,scDesign3,SCGEMRNA,louvain,HOMO
VASC,0.53,VASC,VASC,scDesign3,SCGEMRNA,louvain,HOMO
scGBM,0.71,scGBM,scGBM,scDesign3,SCGEMRNA,louvain,HOMO
SPDR,0.74,SPDR,SPDR,scDesign3,SCGEMRNA,louvain,HOMO
pCMF,0.36,pCMF,pCMF,scDesign3,SCGEMRNA,louvain,HOMO
SQuaD_MDS_hybrid,0.7,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,HOMO
SCDRHA,0.74,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,louvain,HOMO
TSNE,0.68,t-SNE,t-SNE,scDesign3,SCGEMRNA,louvain,HOMO
UMAP,0.73,UMAP,UMAP,scDesign3,SCGEMRNA,louvain,HOMO
VAE,0.73,VAE,VAE,scDesign3,SCGEMRNA,louvain,HOMO
DREAM,0.43,DREAM,DREAM,scDesign3,SCGEMRNA,louvain,HOMO
ZIFA,0.66,ZIFA,ZIFA,scDesign3,SCGEMRNA,louvain,HOMO
SSNMDI,0.52,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,louvain,HOMO
tGPLVM,0.52,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,louvain,HOMO
SQuaD_MDS,0.66,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,HOMO
GLMPCA,0.69,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,louvain,HOMO
PaCMAP,0.55,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,louvain,HOMO
ParametricUMAP200,0.77,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,louvain,HOMO
scScope,0.58,scScope,scScope,scDesign3,SCGEMRNA,louvain,HOMO
scvis,0.76,scvis,scvis,scDesign3,SCGEMRNA,louvain,HOMO
EDGE,0.79,EDGE,EDGE,scDesign3,SCGEMRNA,louvain,HOMO
TriMap,0.78,TriMap,TriMap,scDesign3,SCGEMRNA,louvain,HOMO
ParametricUMAP50,0.75,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,louvain,HOMO
DRA,0.03,DRA,DRA,scDesign3,SCGEMRNA,louvain,HOMO
SIMLR,0.53,SIMLR,SIMLR,scDesign3,SCGEMRNA,louvain,HOMO
SAUCIE,0.78,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,louvain,HOMO
PCA,0.64,PCA,PCA,scDesign3,SCGEMRNA,louvain,HOMO
PHATE,0.76,PHATE,PHATE,scDesign3,SCGEMRNA,louvain,HOMO
ivis,0.57,IVIS,IVIS,scDesign3,SCGEMRNA,louvain,NMI
scGAE,0.67,scGAE,scGAE,scDesign3,SCGEMRNA,louvain,NMI
VASC,0.47,VASC,VASC,scDesign3,SCGEMRNA,louvain,NMI
scGBM,0.63,scGBM,scGBM,scDesign3,SCGEMRNA,louvain,NMI
SPDR,0.64,SPDR,SPDR,scDesign3,SCGEMRNA,louvain,NMI
pCMF,0.32,pCMF,pCMF,scDesign3,SCGEMRNA,louvain,NMI
SQuaD_MDS_hybrid,0.62,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,NMI
SCDRHA,0.68,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,louvain,NMI
TSNE,0.63,t-SNE,t-SNE,scDesign3,SCGEMRNA,louvain,NMI
UMAP,0.62,UMAP,UMAP,scDesign3,SCGEMRNA,louvain,NMI
VAE,0.63,VAE,VAE,scDesign3,SCGEMRNA,louvain,NMI
DREAM,0.38,DREAM,DREAM,scDesign3,SCGEMRNA,louvain,NMI
ZIFA,0.57,ZIFA,ZIFA,scDesign3,SCGEMRNA,louvain,NMI
SSNMDI,0.45,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,louvain,NMI
tGPLVM,0.46,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,louvain,NMI
SQuaD_MDS,0.58,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,NMI
GLMPCA,0.6,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,louvain,NMI
PaCMAP,0.49,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,louvain,NMI
ParametricUMAP200,0.66,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,louvain,NMI
scScope,0.51,scScope,scScope,scDesign3,SCGEMRNA,louvain,NMI
scvis,0.68,scvis,scvis,scDesign3,SCGEMRNA,louvain,NMI
EDGE,0.7,EDGE,EDGE,scDesign3,SCGEMRNA,louvain,NMI
TriMap,0.67,TriMap,TriMap,scDesign3,SCGEMRNA,louvain,NMI
ParametricUMAP50,0.65,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,louvain,NMI
DRA,0.03,DRA,DRA,scDesign3,SCGEMRNA,louvain,NMI
SIMLR,0.47,SIMLR,SIMLR,scDesign3,SCGEMRNA,louvain,NMI
SAUCIE,0.69,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,louvain,NMI
PCA,0.58,PCA,PCA,scDesign3,SCGEMRNA,louvain,NMI
PHATE,0.65,PHATE,PHATE,scDesign3,SCGEMRNA,louvain,NMI
ivis,0.36,IVIS,IVIS,scDesign3,SCGEMRNA,louvain,SIL
scGAE,0.48,scGAE,scGAE,scDesign3,SCGEMRNA,louvain,SIL
VASC,0.43,VASC,VASC,scDesign3,SCGEMRNA,louvain,SIL
scGBM,0.49,scGBM,scGBM,scDesign3,SCGEMRNA,louvain,SIL
SPDR,0.39,SPDR,SPDR,scDesign3,SCGEMRNA,louvain,SIL
pCMF,0.33,pCMF,pCMF,scDesign3,SCGEMRNA,louvain,SIL
SQuaD_MDS_hybrid,0.38,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,SIL
SCDRHA,0.48,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,louvain,SIL
TSNE,0.47,t-SNE,t-SNE,scDesign3,SCGEMRNA,louvain,SIL
UMAP,0.48,UMAP,UMAP,scDesign3,SCGEMRNA,louvain,SIL
VAE,0.48,VAE,VAE,scDesign3,SCGEMRNA,louvain,SIL
DREAM,0.3,DREAM,DREAM,scDesign3,SCGEMRNA,louvain,SIL
ZIFA,0.41,ZIFA,ZIFA,scDesign3,SCGEMRNA,louvain,SIL
SSNMDI,0.59,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,louvain,SIL
tGPLVM,0.18,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,louvain,SIL
SQuaD_MDS,0.37,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,louvain,SIL
GLMPCA,0.56,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,louvain,SIL
PaCMAP,0.57,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,louvain,SIL
ParametricUMAP200,0.56,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,louvain,SIL
scScope,0.41,scScope,scScope,scDesign3,SCGEMRNA,louvain,SIL
scvis,0.44,scvis,scvis,scDesign3,SCGEMRNA,louvain,SIL
EDGE,0.5,EDGE,EDGE,scDesign3,SCGEMRNA,louvain,SIL
TriMap,0.49,TriMap,TriMap,scDesign3,SCGEMRNA,louvain,SIL
ParametricUMAP50,0.52,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,louvain,SIL
DRA,0.34,DRA,DRA,scDesign3,SCGEMRNA,louvain,SIL
SIMLR,0.51,SIMLR,SIMLR,scDesign3,SCGEMRNA,louvain,SIL
SAUCIE,0.44,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,louvain,SIL
PCA,0.38,PCA,PCA,scDesign3,SCGEMRNA,louvain,SIL
PHATE,0.51,PHATE,PHATE,scDesign3,SCGEMRNA,louvain,SIL
ivis,0.34,IVIS,IVIS,scDesign3,SCGEMRNA,spectral,ARI
scGAE,0.65,scGAE,scGAE,scDesign3,SCGEMRNA,spectral,ARI
VASC,0.33,VASC,VASC,scDesign3,SCGEMRNA,spectral,ARI
scGBM,0.62,scGBM,scGBM,scDesign3,SCGEMRNA,spectral,ARI
SPDR,0.62,SPDR,SPDR,scDesign3,SCGEMRNA,spectral,ARI
pCMF,0.18,pCMF,pCMF,scDesign3,SCGEMRNA,spectral,ARI
SQuaD_MDS_hybrid,0.69,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,spectral,ARI
SCDRHA,0.64,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,spectral,ARI
TSNE,0.59,t-SNE,t-SNE,scDesign3,SCGEMRNA,spectral,ARI
UMAP,0.64,UMAP,UMAP,scDesign3,SCGEMRNA,spectral,ARI
VAE,0.58,VAE,VAE,scDesign3,SCGEMRNA,spectral,ARI
DREAM,0.24,DREAM,DREAM,scDesign3,SCGEMRNA,spectral,ARI
ZIFA,0.6,ZIFA,ZIFA,scDesign3,SCGEMRNA,spectral,ARI
SSNMDI,0.32,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,spectral,ARI
tGPLVM,0.35,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,spectral,ARI
SQuaD_MDS,0.55,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,spectral,ARI
GLMPCA,0.53,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,spectral,ARI
PaCMAP,0.45,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,spectral,ARI
ParametricUMAP200,0.45,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,spectral,ARI
scScope,0.33,scScope,scScope,scDesign3,SCGEMRNA,spectral,ARI
scvis,0.71,scvis,scvis,scDesign3,SCGEMRNA,spectral,ARI
EDGE,0.63,EDGE,EDGE,scDesign3,SCGEMRNA,spectral,ARI
TriMap,0.69,TriMap,TriMap,scDesign3,SCGEMRNA,spectral,ARI
ParametricUMAP50,0.69,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,spectral,ARI
DRA,-0.0,DRA,DRA,scDesign3,SCGEMRNA,spectral,ARI
SIMLR,0.4,SIMLR,SIMLR,scDesign3,SCGEMRNA,spectral,ARI
SAUCIE,0.73,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,spectral,ARI
PCA,0.58,PCA,PCA,scDesign3,SCGEMRNA,spectral,ARI
PHATE,0.68,PHATE,PHATE,scDesign3,SCGEMRNA,spectral,ARI
ivis,0.49,IVIS,IVIS,scDesign3,SCGEMRNA,spectral,COMP
scGAE,0.73,scGAE,scGAE,scDesign3,SCGEMRNA,spectral,COMP
VASC,0.48,VASC,VASC,scDesign3,SCGEMRNA,spectral,COMP
scGBM,0.69,scGBM,scGBM,scDesign3,SCGEMRNA,spectral,COMP
SPDR,0.68,SPDR,SPDR,scDesign3,SCGEMRNA,spectral,COMP
pCMF,0.28,pCMF,pCMF,scDesign3,SCGEMRNA,spectral,COMP
SQuaD_MDS_hybrid,0.7,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,spectral,COMP
SCDRHA,0.71,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,spectral,COMP
TSNE,0.65,t-SNE,t-SNE,scDesign3,SCGEMRNA,spectral,COMP
UMAP,0.69,UMAP,UMAP,scDesign3,SCGEMRNA,spectral,COMP
VAE,0.64,VAE,VAE,scDesign3,SCGEMRNA,spectral,COMP
DREAM,0.4,DREAM,DREAM,scDesign3,SCGEMRNA,spectral,COMP
ZIFA,0.67,ZIFA,ZIFA,scDesign3,SCGEMRNA,spectral,COMP
SSNMDI,0.43,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,spectral,COMP
tGPLVM,0.48,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,spectral,COMP
SQuaD_MDS,0.64,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,spectral,COMP
GLMPCA,0.66,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,spectral,COMP
PaCMAP,0.54,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,spectral,COMP
ParametricUMAP200,0.61,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,spectral,COMP
scScope,0.45,scScope,scScope,scDesign3,SCGEMRNA,spectral,COMP
scvis,0.74,scvis,scvis,scDesign3,SCGEMRNA,spectral,COMP
EDGE,0.71,EDGE,EDGE,scDesign3,SCGEMRNA,spectral,COMP
TriMap,0.74,TriMap,TriMap,scDesign3,SCGEMRNA,spectral,COMP
ParametricUMAP50,0.75,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,spectral,COMP
DRA,0.03,DRA,DRA,scDesign3,SCGEMRNA,spectral,COMP
SIMLR,0.46,SIMLR,SIMLR,scDesign3,SCGEMRNA,spectral,COMP
SAUCIE,0.75,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,spectral,COMP
PCA,0.64,PCA,PCA,scDesign3,SCGEMRNA,spectral,COMP
PHATE,0.71,PHATE,PHATE,scDesign3,SCGEMRNA,spectral,COMP
ivis,0.48,IVIS,IVIS,scDesign3,SCGEMRNA,spectral,HOMO
scGAE,0.72,scGAE,scGAE,scDesign3,SCGEMRNA,spectral,HOMO
VASC,0.47,VASC,VASC,scDesign3,SCGEMRNA,spectral,HOMO
scGBM,0.69,scGBM,scGBM,scDesign3,SCGEMRNA,spectral,HOMO
SPDR,0.68,SPDR,SPDR,scDesign3,SCGEMRNA,spectral,HOMO
pCMF,0.28,pCMF,pCMF,scDesign3,SCGEMRNA,spectral,HOMO
SQuaD_MDS_hybrid,0.7,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,SCGEMRNA,spectral,HOMO
SCDRHA,0.68,SCDRHA,SCDRHA,scDesign3,SCGEMRNA,spectral,HOMO
TSNE,0.65,t-SNE,t-SNE,scDesign3,SCGEMRNA,spectral,HOMO
UMAP,0.68,UMAP,UMAP,scDesign3,SCGEMRNA,spectral,HOMO
VAE,0.64,VAE,VAE,scDesign3,SCGEMRNA,spectral,HOMO
DREAM,0.4,DREAM,DREAM,scDesign3,SCGEMRNA,spectral,HOMO
ZIFA,0.66,ZIFA,ZIFA,scDesign3,SCGEMRNA,spectral,HOMO
SSNMDI,0.42,SSNMDI,SSNMDI,scDesign3,SCGEMRNA,spectral,HOMO
tGPLVM,0.47,tGPLVM,tGPLVM,scDesign3,SCGEMRNA,spectral,HOMO
SQuaD_MDS,0.64,SQuaD-MDS,SQuaD-MDS,scDesign3,SCGEMRNA,spectral,HOMO
GLMPCA,0.64,GLMPCA,GLMPCA,scDesign3,SCGEMRNA,spectral,HOMO
PaCMAP,0.53,PaCMAP,PaCMAP,scDesign3,SCGEMRNA,spectral,HOMO
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,scDesign3,SCGEMRNA,spectral,HOMO
scScope,0.45,scScope,scScope,scDesign3,SCGEMRNA,spectral,HOMO
scvis,0.74,scvis,scvis,scDesign3,SCGEMRNA,spectral,HOMO
EDGE,0.7,EDGE,EDGE,scDesign3,SCGEMRNA,spectral,HOMO
TriMap,0.71,TriMap,TriMap,scDesign3,SCGEMRNA,spectral,HOMO
ParametricUMAP50,0.73,Parametric UMAP 50,UMAP,scDesign3,SCGEMRNA,spectral,HOMO
DRA,0.03,DRA,DRA,scDesign3,SCGEMRNA,spectral,HOMO
SIMLR,0.44,SIMLR,SIMLR,scDesign3,SCGEMRNA,spectral,HOMO
SAUCIE,0.75,SAUCIE,SAUCIE,scDesign3,SCGEMRNA,spectral,HOMO
PCA,0.64,PCA,PCA,scDesign3,SCGEMRNA,spectral,HOMO
PHATE,0.71,PHATE,PHATE,scDesign3,SCGEMRNA,spectral,HOMO
ivis,0.48,IVIS,IVIS,scDesign3,SCGEMRNA,spectral,NMI
scGAE,0.72,scGAE,scGAE,scDesign3,SCGEMRNA,spectral,NMI
