method_raw,method_id,parent_method,perturbation_axis,score
scGBM,scGBM,scGBM,celltype_number,0.4844445283960202
scScope,scScope,scScope,celltype_number,0.1863982237123593
scvis,scvis,scvis,celltype_number,0.183199617653187
tGPLVM,tGPLVM,tGPLVM,celltype_number,0.1870430349676848
DRA,DRA,DRA,de_prob,0.1341300050401535
DREAM,DREAM,DREAM,de_prob,0.4931920378563125
EDGE,EDGE,EDGE,de_prob,0.6957527926043161
GLMPCA,GLMPCA,GLMPCA,de_prob,0.7033934583945955
PCA,PCA,PCA,de_prob,0.7185274215841633
PHATE,PHATE,PHATE,de_prob,0.7602835786759344
PaCMAP,PaCMAP,PaCMAP,de_prob,0.1442852232794601
ParametricUMAP200,Parametric UMAP 200,UMAP,de_prob,0.759441608993485
ParametricUMAP50,Parametric UMAP 50,UMAP,de_prob,0.7633340815143081
SAUCIE,SAUCIE,SAUCIE,de_prob,0.1208845555915354
SCDRHA,SCDRHA,SCDRHA,de_prob,0.6195030601711375
SIMLR,SIMLR,SIMLR,de_prob,0.783084122225534
SPDR,SPDR,SPDR,de_prob,0.7952325699240155
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,de_prob,0.493623263212784
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,de_prob,0.7128200373851867
SSNMDI,SSNMDI,SSNMDI,de_prob,0.113809239271635
TSNE,t-SNE,t-SNE,de_prob,0.7771813927839413
TriMap,TriMap,TriMap,de_prob,0.8126512024667181
UMAP,UMAP,UMAP,de_prob,0.6916536163875884
VAE,VAE,VAE,de_prob,0.7556558274408287
ZIFA,ZIFA,ZIFA,de_prob,0.7139013804454073
ivis,IVIS,IVIS,de_prob,0.6314717928546049
pCMF,pCMF,pCMF,de_prob,0.1021008740156151
scGAE,scGAE,scGAE,de_prob,0.4748586128830068
scGBM,scGBM,scGBM,de_prob,0.6794514760435607
scScope,scScope,scScope,de_prob,0.3193103534510967
scvis,scvis,scvis,de_prob,0.137045855559145
tGPLVM,tGPLVM,tGPLVM,de_prob,0.6707848152216693
DRA,DRA,DRA,de_strength,0.1107934418902619
DREAM,DREAM,DREAM,de_strength,0.6141548804024761
EDGE,EDGE,EDGE,de_strength,0.6779461762148894
GLMPCA,GLMPCA,GLMPCA,de_strength,0.7173683363585628
PCA,PCA,PCA,de_strength,0.749515427393428
PHATE,PHATE,PHATE,de_strength,0.7749988779566965
PaCMAP,PaCMAP,PaCMAP,de_strength,0.1319666910349156
ParametricUMAP200,Parametric UMAP 200,UMAP,de_strength,0.7555478074958912
ParametricUMAP50,Parametric UMAP 50,UMAP,de_strength,0.7469879941883032
SAUCIE,SAUCIE,SAUCIE,de_strength,0.1317229251947831
SCDRHA,SCDRHA,SCDRHA,de_strength,0.6717888944927923
SIMLR,SIMLR,SIMLR,de_strength,0.7839826480835557
SPDR,SPDR,SPDR,de_strength,0.8122536929698768
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,de_strength,0.6154022145396465
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,de_strength,0.7158683976436564
SSNMDI,SSNMDI,SSNMDI,de_strength,0.0928338108205176
TSNE,t-SNE,t-SNE,de_strength,0.7766570928753362
TriMap,TriMap,TriMap,de_strength,0.8237615995564432
UMAP,UMAP,UMAP,de_strength,0.6986234504367085
VAE,VAE,VAE,de_strength,0.7761827332863378
ZIFA,ZIFA,ZIFA,de_strength,0.7515767634582382
ivis,IVIS,IVIS,de_strength,0.6866645784564177
pCMF,pCMF,pCMF,de_strength,0.2987736647223162
scGAE,scGAE,scGAE,de_strength,0.4384595977279435
scGBM,scGBM,scGBM,de_strength,0.7124584288470471
scScope,scScope,scScope,de_strength,0.5525121025378337
scvis,scvis,scvis,de_strength,0.4408195736242289
tGPLVM,tGPLVM,tGPLVM,de_strength,0.6703593002281977
DRA,DRA,DRA,dropout,0.1273928173114777
DREAM,DREAM,DREAM,dropout,0.1914739352829793
EDGE,EDGE,EDGE,dropout,0.5517693312141507
GLMPCA,GLMPCA,GLMPCA,dropout,0.6186487496708308
PCA,PCA,PCA,dropout,0.6081452808882156
PHATE,PHATE,PHATE,dropout,0.6866938421518171
PaCMAP,PaCMAP,PaCMAP,dropout,0.1356408281333702
ParametricUMAP200,Parametric UMAP 200,UMAP,dropout,0.7479939184828115
ParametricUMAP50,Parametric UMAP 50,UMAP,dropout,0.7199707532023074
SAUCIE,SAUCIE,SAUCIE,dropout,0.1203870940725305
SCDRHA,SCDRHA,SCDRHA,dropout,0.4213656645124295
SIMLR,SIMLR,SIMLR,dropout,0.7347885983235841
SPDR,SPDR,SPDR,dropout,0.7858076853041296
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,dropout,0.4605976736673461
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,dropout,0.6846167699917001
SSNMDI,SSNMDI,SSNMDI,dropout,0.1049516629520352
TSNE,t-SNE,t-SNE,dropout,0.718298695448338
TriMap,TriMap,TriMap,dropout,0.8059760791111067
UMAP,UMAP,UMAP,dropout,0.7291739910202365
VAE,VAE,VAE,dropout,0.6440316242864108
ZIFA,ZIFA,ZIFA,dropout,0.6658250217671839
ivis,IVIS,IVIS,dropout,0.5059534193078405
pCMF,pCMF,pCMF,dropout,0.1325848821346411
scGAE,scGAE,scGAE,dropout,0.2501117492795352
scGBM,scGBM,scGBM,dropout,0.6220572274782826
scScope,scScope,scScope,dropout,0.1955885016766765
scvis,scvis,scvis,dropout,0.1666444455347927
tGPLVM,tGPLVM,tGPLVM,dropout,0.3236951819991585
DRA,DRA,DRA,gene_number,0.1268352225840869
DREAM,DREAM,DREAM,gene_number,0.3159615557998821
EDGE,EDGE,EDGE,gene_number,0.7068173817801396
GLMPCA,GLMPCA,GLMPCA,gene_number,0.6845245728826419
PCA,PCA,PCA,gene_number,0.7001763037498774
PHATE,PHATE,PHATE,gene_number,0.7841433984560197
PaCMAP,PaCMAP,PaCMAP,gene_number,0.1267127735312762
ParametricUMAP200,Parametric UMAP 200,UMAP,gene_number,0.7999898917236961
ParametricUMAP50,Parametric UMAP 50,UMAP,gene_number,0.7907192062802133
SAUCIE,SAUCIE,SAUCIE,gene_number,0.1120970586575799
