method_raw,method_id,parent_method,score_domain,score
ivis,IVIS,IVIS,global,0.6203183422116902
pCMF,pCMF,pCMF,global,0.5452973488708297
scGAE,scGAE,scGAE,global,0.5828678666177501
scGBM,scGBM,scGBM,global,0.6719312442573321
scScope,scScope,scScope,global,0.5575111000224625
scvis,scvis,scvis,global,0.7353173891085545
tGPLVM,tGPLVM,tGPLVM,global,0.5475500834406869
DRA,DRA,DRA,kmeans,0.1628000892042154
DREAM,DREAM,DREAM,kmeans,0.4625721309434902
EDGE,EDGE,EDGE,kmeans,0.4864847730478798
GLMPCA,GLMPCA,GLMPCA,kmeans,0.6089174964733217
PCA,PCA,PCA,kmeans,0.5496896108206788
PHATE,PHATE,PHATE,kmeans,0.6026995685005394
PaCMAP,PaCMAP,PaCMAP,kmeans,0.3068713903410505
ParametricUMAP200,Parametric UMAP 200,UMAP,kmeans,0.5900427765330678
ParametricUMAP50,Parametric UMAP 50,UMAP,kmeans,0.5894005891627251
SAUCIE,SAUCIE,SAUCIE,kmeans,0.3560838415899095
SCDRHA,SCDRHA,SCDRHA,kmeans,0.5188718778524604
SIMLR,SIMLR,SIMLR,kmeans,0.6118213617765522
SPDR,SPDR,SPDR,kmeans,0.6051493963156584
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,kmeans,0.4533303667745416
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,kmeans,0.5347434549000083
SSNMDI,SSNMDI,SSNMDI,kmeans,0.266730758858186
TSNE,t-SNE,t-SNE,kmeans,0.6069200273836196
TriMap,TriMap,TriMap,kmeans,0.6135668201808979
UMAP,UMAP,UMAP,kmeans,0.5787030536884906
VAE,VAE,VAE,kmeans,0.4604032134262717
VASC,VASC,VASC,kmeans,0.5964052983154925
ZIFA,ZIFA,ZIFA,kmeans,0.5488192473653639
ivis,IVIS,IVIS,kmeans,0.5485191477885653
pCMF,pCMF,pCMF,kmeans,0.3176635045736471
scGAE,scGAE,scGAE,kmeans,0.4827543461123558
scGBM,scGBM,scGBM,kmeans,0.619152124305037
scScope,scScope,scScope,kmeans,0.3655855426935524
scvis,scvis,scvis,kmeans,0.5839409281387437
tGPLVM,tGPLVM,tGPLVM,kmeans,0.3393132312671147
DRA,DRA,DRA,louvain,0.1481927539176749
DREAM,DREAM,DREAM,louvain,0.4097234622564074
EDGE,EDGE,EDGE,louvain,0.4551393288661315
GLMPCA,GLMPCA,GLMPCA,louvain,0.4950788781599343
PCA,PCA,PCA,louvain,0.4621337140884416
PHATE,PHATE,PHATE,louvain,0.4922520682469142
PaCMAP,PaCMAP,PaCMAP,louvain,0.2865888370401018
ParametricUMAP200,Parametric UMAP 200,UMAP,louvain,0.5010743542263446
ParametricUMAP50,Parametric UMAP 50,UMAP,louvain,0.4953740210421593
SAUCIE,SAUCIE,SAUCIE,louvain,0.3338509220477925
SCDRHA,SCDRHA,SCDRHA,louvain,0.4581103639138628
SIMLR,SIMLR,SIMLR,louvain,0.5345937007100237
SPDR,SPDR,SPDR,louvain,0.5092824021856938
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,louvain,0.4244903549381937
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,louvain,0.4827589405339254
SSNMDI,SSNMDI,SSNMDI,louvain,0.2717893108939476
TSNE,t-SNE,t-SNE,louvain,0.5390343100771523
TriMap,TriMap,TriMap,louvain,0.5206517457613115
UMAP,UMAP,UMAP,louvain,0.4999207162134989
VAE,VAE,VAE,louvain,0.4152707773285628
VASC,VASC,VASC,louvain,0.4803515729959036
ZIFA,ZIFA,ZIFA,louvain,0.4688295402538032
ivis,IVIS,IVIS,louvain,0.4732902158297239
pCMF,pCMF,pCMF,louvain,0.3064718084454326
scGAE,scGAE,scGAE,louvain,0.4772822399417915
scGBM,scGBM,scGBM,louvain,0.5112216359155829
scScope,scScope,scScope,louvain,0.3417279068528242
scvis,scvis,scvis,louvain,0.4908234852803262
tGPLVM,tGPLVM,tGPLVM,louvain,0.2963606005888994
DRA,DRA,DRA,spectral,0.1630912245308264
DREAM,DREAM,DREAM,spectral,0.4680473162542483
EDGE,EDGE,EDGE,spectral,0.4828766031751619
GLMPCA,GLMPCA,GLMPCA,spectral,0.5962206489334149
PCA,PCA,PCA,spectral,0.5230260262818601
PHATE,PHATE,PHATE,spectral,0.5773967551996035
PaCMAP,PaCMAP,PaCMAP,spectral,0.29829435486093
ParametricUMAP200,Parametric UMAP 200,UMAP,spectral,0.5841753714840537
ParametricUMAP50,Parametric UMAP 50,UMAP,spectral,0.5837290097799707
SAUCIE,SAUCIE,SAUCIE,spectral,0.365687803452045
SCDRHA,SCDRHA,SCDRHA,spectral,0.4925694614430029
SIMLR,SIMLR,SIMLR,spectral,0.5765694781903007
SPDR,SPDR,SPDR,spectral,0.5900624458157059
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,spectral,0.4645303627141308
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,spectral,0.5467643959347803
SSNMDI,SSNMDI,SSNMDI,spectral,0.2427437391087013
TSNE,t-SNE,t-SNE,spectral,0.6274086146383676
TriMap,TriMap,TriMap,spectral,0.6070360566757272
UMAP,UMAP,UMAP,spectral,0.582214695749356
VAE,VAE,VAE,spectral,0.4736836636253245
VASC,VASC,VASC,spectral,0.5560627043271175
ZIFA,ZIFA,ZIFA,spectral,0.5416161647270089
ivis,IVIS,IVIS,spectral,0.5624134811145792
pCMF,pCMF,pCMF,spectral,0.3241400930619523
scGAE,scGAE,scGAE,spectral,0.506410405508724
scGBM,scGBM,scGBM,spectral,0.6098358274773855
scScope,scScope,scScope,spectral,0.3788985131838598
scvis,scvis,scvis,spectral,0.583473067261674
tGPLVM,tGPLVM,tGPLVM,spectral,0.3309422329875315
DRA,DRA,DRA,runtime_score,0.8267488989935681
DREAM,DREAM,DREAM,runtime_score,0.8934219566326963
EDGE,EDGE,EDGE,runtime_score,0.8648948226156898
GLMPCA,GLMPCA,GLMPCA,runtime_score,0.9842930200372316
PCA,PCA,PCA,runtime_score,0.9998583033883603
PHATE,PHATE,PHATE,runtime_score,0.9931611324102574
PaCMAP,PaCMAP,PaCMAP,runtime_score,0.9961603460946472
SAUCIE,SAUCIE,SAUCIE,runtime_score,0.9992380469391016
SCDRHA,SCDRHA,SCDRHA,runtime_score,0.9045752832262788
SIMLR,SIMLR,SIMLR,runtime_score,0.6622925247969618
SPDR,SPDR,SPDR,runtime_score,0.8109677130866199
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,runtime_score,0.9800019541209342
SSNMDI,SSNMDI,SSNMDI,runtime_score,0.7210609722103707
TriMap,TriMap,TriMap,runtime_score,0.998206875584548
UMAP,UMAP,UMAP,runtime_score,0.9936113792499618
VAE,VAE,VAE,runtime_score,0.9475200089450316
VASC,VASC,VASC,runtime_score,0.4060811215200675
ZIFA,ZIFA,ZIFA,runtime_score,0.7659980816521857
ivis,IVIS,IVIS,runtime_score,0.993505958886628
pCMF,pCMF,pCMF,runtime_score,0.5026042069385395
scGAE,scGAE,scGAE,runtime_score,0.9170793208350828
scGBM,scGBM,scGBM,runtime_score,0.9880037803139912
scScope,scScope,scScope,runtime_score,0.9521141154368372
scvis,scvis,scvis,runtime_score,0.3613162400126833
t-SNE,t-SNE,t-SNE,runtime_score,0.9929750473195488
tGPLVM,tGPLVM,tGPLVM,runtime_score,0.910890886012984
DRA,DRA,DRA,memory_score,0.9598833770821812
DREAM,DREAM,DREAM,memory_score,0.7942985167755877
EDGE,EDGE,EDGE,memory_score,0.3983277516129182
GLMPCA,GLMPCA,GLMPCA,memory_score,0.9746071524888532
PCA,PCA,PCA,memory_score,0.991381117444644
PHATE,PHATE,PHATE,memory_score,0.9808039705501868
PaCMAP,PaCMAP,PaCMAP,memory_score,0.9771872503316348
SAUCIE,SAUCIE,SAUCIE,memory_score,0.9757891099014836
SCDRHA,SCDRHA,SCDRHA,memory_score,0.5062892498654088
SIMLR,SIMLR,SIMLR,memory_score,0.3675259205837353
SPDR,SPDR,SPDR,memory_score,0.9385200189987768
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,memory_score,0.976455675889568
SSNMDI,SSNMDI,SSNMDI,memory_score,0.7402755539306447
TriMap,TriMap,TriMap,memory_score,0.9765433241464891
UMAP,UMAP,UMAP,memory_score,0.9061862458457284
VAE,VAE,VAE,memory_score,0.927733438273756
VASC,VASC,VASC,memory_score,0.955671222448901
ZIFA,ZIFA,ZIFA,memory_score,0.933574476757142
ivis,IVIS,IVIS,memory_score,0.9295381970455028
pCMF,pCMF,pCMF,memory_score,0.9730604455276654
scGAE,scGAE,scGAE,memory_score,0.666807275551742
scGBM,scGBM,scGBM,memory_score,0.954582357660856
scScope,scScope,scScope,memory_score,0.9133535688601334
scvis,scvis,scvis,memory_score,0.97381780319574
t-SNE,t-SNE,t-SNE,memory_score,0.9911861838309288
tGPLVM,tGPLVM,tGPLVM,memory_score,0.9362192146354886
DRA,DRA,DRA,stability_median,0.1268352225840869
DREAM,DREAM,DREAM,stability_median,0.3159615557998821
EDGE,EDGE,EDGE,stability_median,0.6340310914466445
GLMPCA,GLMPCA,GLMPCA,stability_median,0.6186487496708308
IVIS,IVIS,IVIS,stability_median,0.4502708049824035
PCA,PCA,PCA,stability_median,0.6483941740179835
PHATE,PHATE,PHATE,stability_median,0.7749988779566965
PaCMAP,PaCMAP,PaCMAP,stability_median,0.1442852232794601
Parametric UMAP 200,Parametric UMAP 200,UMAP,stability_median,0.7555478074958912
Parametric UMAP 50,Parametric UMAP 50,UMAP,stability_median,0.7469879941883032
SAUCIE,SAUCIE,SAUCIE,stability_median,0.1208845555915354
SCDRHA,SCDRHA,SCDRHA,stability_median,0.5808443621510366
SIMLR,SIMLR,SIMLR,stability_median,0.7839826480835557
SPDR,SPDR,SPDR,stability_median,0.8189764504787866
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,stability_median,0.4605976736673461
SQuaD-MDS hybrid,SQuaD-MDS hybrid,SQuaD-MDS,stability_median,0.7068702956246898
SSNMDI,SSNMDI,SSNMDI,stability_median,0.1157900611119457
TriMap,TriMap,TriMap,stability_median,0.8237615995564432
UMAP,UMAP,UMAP,stability_median,0.7114589363686984
VAE,VAE,VAE,stability_median,0.7556558274408287
ZIFA,ZIFA,ZIFA,stability_median,0.6658250217671839
pCMF,pCMF,pCMF,stability_median,0.1325848821346411
scGAE,scGAE,scGAE,stability_median,0.2501117492795352
scGBM,scGBM,scGBM,stability_median,0.629440459246491
scScope,scScope,scScope,stability_median,0.3193103534510967
scvis,scvis,scvis,stability_median,0.1666444455347927
t-SNE,t-SNE,t-SNE,stability_median,0.7848551977001316
tGPLVM,tGPLVM,tGPLVM,stability_median,0.6324226350305697
