method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit
UMAP,UMAP,UMAP,73233.0,3.183,44.8445,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,73233.0,2.195,549.2445,efficiency,,,,,,,,,
ivis,IVIS,IVIS,73233.0,1.673,197.2723,efficiency,,,,,,,,,
DRA,DRA,DRA,73233.0,1.768,7192.8711,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,73233.0,1.569,64.3344,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,73233.0,2.05,156.4359,efficiency,,,,,,,,,
PCA,PCA,PCA,73233.0,2.75,13.89,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,73233.0,2.76,443.098,efficiency,,,,,,,,,
VAE,VAE,VAE,73233.0,3.161,1994.1385,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,73233.0,5.027,821.787,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,73233.0,5.252,573.543,efficiency,,,,,,,,,
VASC,VASC,VASC,73233.0,4.152,25268.5643,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,73233.0,2.01,207.9224,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,73233.0,4.882,18998.695,efficiency,,,,,,,,,
scScope,scScope,scScope,73233.0,3.253,2165.0811,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,73233.0,6.022,20562.4158,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,73233.0,63.961,13138.446,efficiency,,,,,,,,,
scvis,scvis,scvis,73233.0,2.085,9444.5761,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,73233.0,10.25,9119.3146,efficiency,,,,,,,,,
,,,,,,install_manifest,PCA,R,Baseline,conda,r-base,R benchmark,installed_verified,Use stats::prcomp from the R base stats package.,
,,,,,,install_manifest,GLMPCA,R,Latent-dimension sensitivity,R,glmpca,R benchmark,installed_verified,Install from CRAN/r-universe or GitHub if needed.,
,,,,,,install_manifest,pCMF,R,Latent-dimension sensitivity,manual_source,pCMF,R benchmark,installed_verified,Table S1 points to DRComparison data rather than a standalone pCMF package.,
,,,,,,install_manifest,ZIFA,python,Latent-dimension sensitivity,manual_source,ZIFA,Python legacy,installed_verified,Table S1 points to DRComparison data; identify usable Python implementation before running.,
,,,,,,install_manifest,scGBM,R,Latent-dimension sensitivity,R,scGBM,R benchmark,installed_verified,Install from GitHub with remotes.,
,,,,,,install_manifest,SSNMDI,MATLAB,Label-sensitive method,git,SSNMDI,octave,Source import verified,Extracted MATLAB source; Octave 10.3 smoke test loaded Zheng_pre.mat and executed constructW.,
,,,,,,install_manifest,tGPLVM,python,Optional latent method,git,tGPLVM,Python 3.6 tGPLVM,Source import verified,Source compiles and smoke run completed on bundled Test_3_Pollen.h5 in isolated Python 3.6 TensorFlow 1.6 Edward 1.3.5 environment; patched indentation Python 3 print and HDF5 byte-string metadata.,
,,,,,,install_manifest,VAE,python,Latent-dimension sensitivity,git,CZI-Latent-Assessment,Python legacy,Source import verified,CZI VAE script checked out; Keras import path patched; py_compile and dependency imports verified.,
,,,,,,install_manifest,scvis,python,Legacy visualization,git,scvis-dev,Python legacy,installed_verified,pip installed from cloned source; import verified in Python legacy.,
,,,,,,install_manifest,VASC,python,Legacy deep method,git,VASC,Python legacy,Source import verified,Source import verified after Keras merge compatibility patch.,
,,,,,,install_manifest,SAUCIE,python,Legacy deep method,git,SAUCIE,Python legacy,Source import verified,Source import verified in Python legacy; full TF1-style training runtime still needs smoke test.,
,,,,,,install_manifest,scScope,python,Legacy deep method,manual_source,scScope,Python legacy,installed_verified,Table S1 points to DRComparison data; identify original source or archived implementation.,
,,,,,,install_manifest,SCDRHA,python,Legacy deep method,git,SCDRHA,Python SCDH,Source import verified,Source import verified in isolated TensorFlow 2.4/DCA environment with python-louvain and PyYAML compatibility pins.,
,,,,,,install_manifest,scGAE,python,Legacy deep method,git,scGAE,Python legacy,Source import verified,Source import verified in Python legacy after installing TensorFlow-probability spektral umap-learn and scanpy.,
,,,,,,install_manifest,DREAM,python,Legacy deep method,git,DREAM,Python modern,installed_verified,pip installed from cloned source after adding missing requirements file; import verified.,
,,,,,,install_manifest,DRA,python,Legacy deep method,git,DRA,Python TF1,Source import verified,Source modules compile and import in isolated TensorFlow 1.15 environment with PyTables.,
,,,,,,install_manifest,UMAP,python,2D visualization,pip,umap-learn,Python modern,installed_verified,Install from PyPI/conda-forge; run direct 2D and PCA50->UMAP.,
,,,,,,install_manifest,SIMLR,R,2D visualization,Bioconductor,SIMLR,R benchmark,installed_verified,Install through Bioconductor or GitHub.,
,,,,,,install_manifest,PHATE,python,2D visualization,pip,phate,Python modern,installed_verified,Install from PyPI/conda-forge.,
,,,,,,install_manifest,EDGE,R,2D visualization,R,EDGE,R benchmark,installed_verified,Install from GitHub with remotes.,
,,,,,,install_manifest,SPDR,python,2D visualization,git,SPDR,Python modern,Source import verified,Source import verified in Python modern after installing hnswlib.,
,,,,,,install_manifest,IVIS,python,2D visualization,pip,ivis,Python legacy,installed_verified,TensorFlow dependency; isolate if it conflicts with modern stack.,
,,,,,,install_manifest,PaCMAP,python,2D visualization,pip,pacmap,Python modern,installed_verified,Install from PyPI/conda-forge.,
,,,,,,install_manifest,t-SNE,R,2D visualization,R,Rtsne,R benchmark,installed_verified,Install Rtsne in R environment; also allow sklearn TSNE for Python checks if needed.,
,,,,,,install_manifest,TriMap,python,2D visualization,pip,trimap,Python modern,installed_verified,Install from PyPI if available; otherwise GitHub source.,
,,,,,,install_manifest,SQuaD-MDS,python,2D visualization,git,SQuaD-MDS-and-FItSNE-hybrid,Python modern,Source import verified,Source import verified in Python modern.,
,,,,,,install_manifest,scVI,python,Targeted reference method,pip,scvi-tools,Python modern,installed_verified,Targeted reference method included for sensitivity analysis; official docs support pip or conda installation.,
,,,,,,source_commits,,,,,,,,,4946375737b45391526e150ec47822fcf5d15e81
,,,,,,source_commits,,,,,,,,,6f188f14ce8cc5af7713999305c178aa7771ea2f
,,,,,,source_commits,,,,,,,,,fdf64830af2551f07b4bc6b2fbb56cfc752abd16
,,,,,,source_commits,,,,,,,,,8ffcdd4bb4ebf1635ba0e2ca1d0e914adc3668ae
,,,,,,source_commits,,,,,,,,,5ab7976fc8d19a3823b6005f51736dc70f2017fb
,,,,,,source_commits,,,,,,,,,c7c3c12b3e60f8a747650c242ebd3395adb5b0de
,,,,,,source_commits,,,,,,,,,1bcba77cd4bb83c6f914bb1a1e73d3f486741101
,,,,,,source_commits,,,,,,,,,4cfa8b4c462da6101bf9664fd86458910a9164f4
,,,,,,source_commits,,,,,,,,,880df88eed6a60118c9ecf03b00e3925406c4807
,,,,,,source_commits,,,,,,,,,f17ad2def9b75920c2321bf761647ec3df9b43c1
,,,,,,source_commits,,,,,,,,,ab7213ac63e9f1ea6351a86514ef9cb708ddf0f3
,,,,,,source_commits,,,,,,,,,230332695f30b7c828a17e3c01bddb8f04f86b46
,,,,,,source_commits,,,,,,,,,70e512f8590155537efad8dd9f7c29adfab33232
,,,,,,source_commits,,,,,,,,,50f500445112900c4ed03c12bdeb2e6a3df6ae8b
,,,,,,source_commits,,,,,,,,,3fd7e39bf858db31b73e08e6f046f27e146d54d2
,,,,,,source_commits,,,,,,,,,af73849679e8f84d80e4418d0badf5ea9d9a87af
,,,,,,source_commits,,,,,,,,,a76fd66d417c5d0c31b5f84fe1180e95596d2df7
