method_raw,method_id,parent_method,perturbation_axis,score,family
tGPLVM,tGPLVM,tGPLVM,de_prob,0.6707848152216693,linear/probabilistic
DRA,DRA,DRA,de_strength,0.1107934418902619,deep generative/autoencoder
DREAM,DREAM,DREAM,de_strength,0.6141548804024761,deep generative/autoencoder
EDGE,EDGE,EDGE,de_strength,0.6779461762148894,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,de_strength,0.7173683363585628,linear/probabilistic
PCA,PCA,PCA,de_strength,0.749515427393428,linear/probabilistic
PHATE,PHATE,PHATE,de_strength,0.7749988779566965,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,de_strength,0.1319666910349156,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,de_strength,0.7555478074958912,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,de_strength,0.7469879941883032,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,de_strength,0.1317229251947831,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,de_strength,0.6717888944927923,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,de_strength,0.7839826480835557,graph/diffusion
SPDR,SPDR,SPDR,de_strength,0.8122536929698768,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,de_strength,0.6154022145396465,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,de_strength,0.7158683976436564,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,de_strength,0.0928338108205176,linear/probabilistic
TSNE,t-SNE,t-SNE,de_strength,0.7766570928753362,metric/structure-aware
TriMap,TriMap,TriMap,de_strength,0.8237615995564432,metric/structure-aware
UMAP,UMAP,UMAP,de_strength,0.6986234504367085,graph/diffusion
VAE,VAE,VAE,de_strength,0.7761827332863378,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,de_strength,0.7515767634582382,linear/probabilistic
ivis,IVIS,IVIS,de_strength,0.6866645784564177,metric/structure-aware
pCMF,pCMF,pCMF,de_strength,0.2987736647223162,linear/probabilistic
scGAE,scGAE,scGAE,de_strength,0.4384595977279435,deep generative/autoencoder
scGBM,scGBM,scGBM,de_strength,0.7124584288470471,linear/probabilistic
scScope,scScope,scScope,de_strength,0.5525121025378337,deep generative/autoencoder
scvis,scvis,scvis,de_strength,0.4408195736242289,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,de_strength,0.6703593002281977,linear/probabilistic
DRA,DRA,DRA,dropout,0.1273928173114777,deep generative/autoencoder
DREAM,DREAM,DREAM,dropout,0.1914739352829793,deep generative/autoencoder
EDGE,EDGE,EDGE,dropout,0.5517693312141507,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,dropout,0.6186487496708308,linear/probabilistic
PCA,PCA,PCA,dropout,0.6081452808882156,linear/probabilistic
PHATE,PHATE,PHATE,dropout,0.6866938421518171,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,dropout,0.1356408281333702,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,dropout,0.7479939184828115,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,dropout,0.7199707532023074,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,dropout,0.1203870940725305,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,dropout,0.4213656645124295,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,dropout,0.7347885983235841,graph/diffusion
SPDR,SPDR,SPDR,dropout,0.7858076853041296,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,dropout,0.4605976736673461,metric/structure-aware
