method_raw,method_id,parent_method,perturbation_axis,score,family
VAE,VAE,VAE,gene_number,0.7807259917859365,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,gene_number,0.6908678322810575,linear/probabilistic
ivis,IVIS,IVIS,gene_number,0.5644777049135854,metric/structure-aware
pCMF,pCMF,pCMF,gene_number,0.0979905853096566,linear/probabilistic
scGAE,scGAE,scGAE,gene_number,0.3510799672265158,deep generative/autoencoder
scGBM,scGBM,scGBM,gene_number,0.6668585133548699,linear/probabilistic
scScope,scScope,scScope,gene_number,0.4071308257928955,deep generative/autoencoder
scvis,scvis,scvis,gene_number,0.1444898949919613,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,gene_number,0.6634920964625806,linear/probabilistic
DRA,DRA,DRA,out,0.1158981811977128,deep generative/autoencoder
DREAM,DREAM,DREAM,out,0.1853637365239483,deep generative/autoencoder
EDGE,EDGE,EDGE,out,0.7668973857182563,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,out,0.7124871307346232,linear/probabilistic
PCA,PCA,PCA,out,0.7315586445677992,linear/probabilistic
PHATE,PHATE,PHATE,out,0.7813167532325929,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,out,0.1318758497676365,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,out,0.8143651431163864,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,out,0.8024862759317974,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,out,0.108303561883114,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,out,0.6141812752529228,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,out,0.8387094083943897,graph/diffusion
SPDR,SPDR,SPDR,out,0.8214120005093969,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,out,0.487793790407442,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,out,0.7884464321838364,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,out,0.0998644063398621,linear/probabilistic
TSNE,t-SNE,t-SNE,out,0.803903792769977,metric/structure-aware
TriMap,TriMap,TriMap,out,0.8441076213470406,metric/structure-aware
UMAP,UMAP,UMAP,out,0.8009498387535391,graph/diffusion
VAE,VAE,VAE,out,0.7733149671302559,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,out,0.72476254464467,linear/probabilistic
ivis,IVIS,IVIS,out,0.3879464112942643,metric/structure-aware
pCMF,pCMF,pCMF,out,0.0867358942694987,linear/probabilistic
scGAE,scGAE,scGAE,out,0.1525634306687256,deep generative/autoencoder
scGBM,scGBM,scGBM,out,0.6967254333278222,linear/probabilistic
scScope,scScope,scScope,out,0.1467617060364649,deep generative/autoencoder
scvis,scvis,scvis,out,0.0843209295006849,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,out,0.7239743458621144,linear/probabilistic
