metric_sample_size,n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,hvg_requested,hvg_actual,seed,n_cells,n_genes_total,n_genes_input,metric_sample_size_requested,runtime_seconds,max_rss_mb,workflow,dimension,pca_components,model_input,max_epochs,max_iter,min_iter,analysis_inclusion,method_raw,method_id,parent_method,control_layer,method_order
2000,5,0.9164964072969292,0.8725119340557365,0.8767759058903546,0.8682892349404722,0.1027232006444955,0.7456343651402746,Input-gene sensitivity,default,PCA,Python modern,500,500,0,2000,3000,500,5000,0.8090636730194092,324.83203125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,1.0,1.0,1.0,1.0,0.3610233901214925,0.7032485631448793,Input-gene sensitivity,celltype_7,PCA,Python modern,3000,3000,2,2000,3000,3000,5000,1.090348243713379,1373.4296875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,1.0,1.0,1.0,1.0,0.3611296488735381,0.699606523407521,Input-gene sensitivity,celltype_7,PCA,Python modern,3000,3000,1,2000,3000,3000,5000,0.9912092685699464,1373.4296875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,1.0,1.0,1.0,1.0,0.3614744113647311,0.7019566299991473,Input-gene sensitivity,celltype_7,PCA,Python modern,3000,3000,0,2000,3000,3000,5000,1.0981004238128662,1373.3828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.662667782655682,0.6848148809888306,0.6885380844292992,0.6811317267150626,0.0803294875842187,0.6831907734288394,Input-gene sensitivity,celltype_11,PCA,Python modern,1000,1000,2,2000,3000,1000,5000,0.8304781913757324,1466.81640625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9910049756994348,0.9803041148622748,0.980971889358528,0.9796372488924276,0.137400649297974,0.7177395497569711,Input-gene sensitivity,gene_5k,PCA,Python modern,1000,1000,2,2000,3000,1000,5000,0.9805057048797609,2086.546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9863076151777368,0.9722888139440936,0.9735901141795372,0.9709909877002711,0.1381470255005215,0.7172761661123902,Input-gene sensitivity,gene_5k,PCA,Python modern,1000,1000,1,2000,3000,1000,5000,1.031930685043335,2086.546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9834842893808056,0.9684577665787388,0.9697680313596344,0.9671510376482538,0.1367864380284051,0.7184977828941759,Input-gene sensitivity,gene_5k,PCA,Python modern,1000,1000,0,2000,3000,1000,5000,0.9079091548919678,2086.546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,1.0,1.0,1.0,1.0,0.371984654156673,0.7179415963161934,Input-gene sensitivity,gene_5k,PCA,Python modern,3000,3000,2,2000,3000,3000,5000,1.1038661003112793,2168.01171875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,1.0,1.0,1.0,1.0,0.3712733929610209,0.7188002984565532,Input-gene sensitivity,gene_5k,PCA,Python modern,3000,3000,1,2000,3000,3000,5000,1.0991935729980469,2168.01171875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,1.0,1.0,1.0,1.0,0.3721703884888234,0.7195416474801739,Input-gene sensitivity,gene_5k,PCA,Python modern,3000,3000,0,2000,3000,3000,5000,1.0591917037963867,2168.01171875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.7514727155888002,0.7867525966040396,0.7995009492569084,0.7744044178755556,0.1250845956048079,0.7555775987038458,Input-gene sensitivity,dropout_0,PCA,Python modern,500,500,2,2000,3000,500,5000,0.7332730293273926,1810.60546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.7538741927596834,0.7909864330756361,0.8032805445183778,0.7790629686976646,0.1245962266067124,0.7609722605952076,Input-gene sensitivity,dropout_0,PCA,Python modern,500,500,1,2000,3000,500,5000,0.7923238277435303,1810.60546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.7508496532509743,0.786597284620697,0.7996939985025313,0.7739226324378686,0.1236242667368992,0.7558939797049544,Input-gene sensitivity,dropout_0,PCA,Python modern,500,500,0,2000,3000,500,5000,0.8768575191497803,1810.60546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.9989813108255912,0.9983194854439194,0.998379129048536,0.9982598489651472,0.2170967955122126,0.7070381086381854,Input-gene sensitivity,celltype_7,PCA,Python modern,2000,2000,2,2000,3000,2000,5000,0.9041507244110109,1311.46875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.9989813108255912,0.9983194854439194,0.998379129048536,0.9982598489651472,0.2183493865220314,0.707835874477701,Input-gene sensitivity,celltype_7,PCA,Python modern,2000,2000,1,2000,3000,2000,5000,0.8887240886688232,1311.46875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.9989813108255912,0.9983194854439194,0.998379129048536,0.9982598489651472,0.2182344530346731,0.7058339899377505,Input-gene sensitivity,celltype_7,PCA,Python modern,2000,2000,0,2000,3000,2000,5000,0.9959924221038818,1311.46875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.9799045450267064,0.9707005062753048,0.9705519884647538,0.97084906954641,0.1353595293489168,0.7075078963076661,Input-gene sensitivity,celltype_7,PCA,Python modern,1000,1000,2,2000,3000,1000,5000,0.9596645832061768,1287.61328125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.9783699886667384,0.9688909764824892,0.9689139555394954,0.9688679985154136,0.1365649347597171,0.7069145476251386,Input-gene sensitivity,celltype_7,PCA,Python modern,1000,1000,1,2000,3000,1000,5000,0.9404048919677734,1287.61328125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
