method_raw,method_id,parent_method,score_domain,score,source_file
pCMF,pCMF,pCMF,kmeans,0.3176635045736471,metric\score\cluster\kmeans.csv
scGAE,scGAE,scGAE,kmeans,0.4827543461123558,metric\score\cluster\kmeans.csv
scGBM,scGBM,scGBM,kmeans,0.619152124305037,metric\score\cluster\kmeans.csv
scScope,scScope,scScope,kmeans,0.3655855426935524,metric\score\cluster\kmeans.csv
scvis,scvis,scvis,kmeans,0.5839409281387437,metric\score\cluster\kmeans.csv
tGPLVM,tGPLVM,tGPLVM,kmeans,0.3393132312671147,metric\score\cluster\kmeans.csv
DRA,DRA,DRA,louvain,0.1481927539176749,metric\score\cluster\louvain.csv
DREAM,DREAM,DREAM,louvain,0.4097234622564074,metric\score\cluster\louvain.csv
EDGE,EDGE,EDGE,louvain,0.4551393288661315,metric\score\cluster\louvain.csv
GLMPCA,GLMPCA,GLMPCA,louvain,0.4950788781599343,metric\score\cluster\louvain.csv
PCA,PCA,PCA,louvain,0.4621337140884416,metric\score\cluster\louvain.csv
PHATE,PHATE,PHATE,louvain,0.4922520682469142,metric\score\cluster\louvain.csv
PaCMAP,PaCMAP,PaCMAP,louvain,0.2865888370401018,metric\score\cluster\louvain.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,louvain,0.5010743542263446,metric\score\cluster\louvain.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,louvain,0.4953740210421593,metric\score\cluster\louvain.csv
SAUCIE,SAUCIE,SAUCIE,louvain,0.3338509220477925,metric\score\cluster\louvain.csv
SCDRHA,SCDRHA,SCDRHA,louvain,0.4581103639138628,metric\score\cluster\louvain.csv
SIMLR,SIMLR,SIMLR,louvain,0.5345937007100237,metric\score\cluster\louvain.csv
SPDR,SPDR,SPDR,louvain,0.5092824021856938,metric\score\cluster\louvain.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,louvain,0.4244903549381937,metric\score\cluster\louvain.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,louvain,0.4827589405339254,metric\score\cluster\louvain.csv
SSNMDI,SSNMDI,SSNMDI,louvain,0.2717893108939476,metric\score\cluster\louvain.csv
TSNE,t-SNE,t-SNE,louvain,0.5390343100771523,metric\score\cluster\louvain.csv
TriMap,TriMap,TriMap,louvain,0.5206517457613115,metric\score\cluster\louvain.csv
UMAP,UMAP,UMAP,louvain,0.4999207162134989,metric\score\cluster\louvain.csv
VAE,VAE,VAE,louvain,0.4152707773285628,metric\score\cluster\louvain.csv
VASC,VASC,VASC,louvain,0.4803515729959036,metric\score\cluster\louvain.csv
ZIFA,ZIFA,ZIFA,louvain,0.4688295402538032,metric\score\cluster\louvain.csv
ivis,IVIS,IVIS,louvain,0.4732902158297239,metric\score\cluster\louvain.csv
pCMF,pCMF,pCMF,louvain,0.3064718084454326,metric\score\cluster\louvain.csv
scGAE,scGAE,scGAE,louvain,0.4772822399417915,metric\score\cluster\louvain.csv
scGBM,scGBM,scGBM,louvain,0.5112216359155829,metric\score\cluster\louvain.csv
scScope,scScope,scScope,louvain,0.3417279068528242,metric\score\cluster\louvain.csv
scvis,scvis,scvis,louvain,0.4908234852803262,metric\score\cluster\louvain.csv
tGPLVM,tGPLVM,tGPLVM,louvain,0.2963606005888994,metric\score\cluster\louvain.csv
DRA,DRA,DRA,spectral,0.1630912245308264,metric\score\cluster\spectral.csv
DREAM,DREAM,DREAM,spectral,0.4680473162542483,metric\score\cluster\spectral.csv
EDGE,EDGE,EDGE,spectral,0.4828766031751619,metric\score\cluster\spectral.csv
GLMPCA,GLMPCA,GLMPCA,spectral,0.5962206489334149,metric\score\cluster\spectral.csv
PCA,PCA,PCA,spectral,0.5230260262818601,metric\score\cluster\spectral.csv
PHATE,PHATE,PHATE,spectral,0.5773967551996035,metric\score\cluster\spectral.csv
PaCMAP,PaCMAP,PaCMAP,spectral,0.29829435486093,metric\score\cluster\spectral.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,spectral,0.5841753714840537,metric\score\cluster\spectral.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,spectral,0.5837290097799707,metric\score\cluster\spectral.csv
SAUCIE,SAUCIE,SAUCIE,spectral,0.365687803452045,metric\score\cluster\spectral.csv
SCDRHA,SCDRHA,SCDRHA,spectral,0.4925694614430029,metric\score\cluster\spectral.csv
SIMLR,SIMLR,SIMLR,spectral,0.5765694781903007,metric\score\cluster\spectral.csv
SPDR,SPDR,SPDR,spectral,0.5900624458157059,metric\score\cluster\spectral.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,spectral,0.4645303627141308,metric\score\cluster\spectral.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,spectral,0.5467643959347803,metric\score\cluster\spectral.csv
SSNMDI,SSNMDI,SSNMDI,spectral,0.2427437391087013,metric\score\cluster\spectral.csv
TSNE,t-SNE,t-SNE,spectral,0.6274086146383676,metric\score\cluster\spectral.csv
TriMap,TriMap,TriMap,spectral,0.6070360566757272,metric\score\cluster\spectral.csv
UMAP,UMAP,UMAP,spectral,0.582214695749356,metric\score\cluster\spectral.csv
VAE,VAE,VAE,spectral,0.4736836636253245,metric\score\cluster\spectral.csv
VASC,VASC,VASC,spectral,0.5560627043271175,metric\score\cluster\spectral.csv
ZIFA,ZIFA,ZIFA,spectral,0.5416161647270089,metric\score\cluster\spectral.csv
ivis,IVIS,IVIS,spectral,0.5624134811145792,metric\score\cluster\spectral.csv
pCMF,pCMF,pCMF,spectral,0.3241400930619523,metric\score\cluster\spectral.csv
scGAE,scGAE,scGAE,spectral,0.506410405508724,metric\score\cluster\spectral.csv
scGBM,scGBM,scGBM,spectral,0.6098358274773855,metric\score\cluster\spectral.csv
scScope,scScope,scScope,spectral,0.3788985131838598,metric\score\cluster\spectral.csv
scvis,scvis,scvis,spectral,0.583473067261674,metric\score\cluster\spectral.csv
tGPLVM,tGPLVM,tGPLVM,spectral,0.3309422329875315,metric\score\cluster\spectral.csv
DRA,DRA,DRA,runtime_score,0.8267488989935681,metric\score\efficiency\time.csv
DREAM,DREAM,DREAM,runtime_score,0.8934219566326963,metric\score\efficiency\time.csv
EDGE,EDGE,EDGE,runtime_score,0.8648948226156898,metric\score\efficiency\time.csv
GLMPCA,GLMPCA,GLMPCA,runtime_score,0.9842930200372316,metric\score\efficiency\time.csv
PCA,PCA,PCA,runtime_score,0.9998583033883603,metric\score\efficiency\time.csv
PHATE,PHATE,PHATE,runtime_score,0.9931611324102574,metric\score\efficiency\time.csv
PaCMAP,PaCMAP,PaCMAP,runtime_score,0.9961603460946472,metric\score\efficiency\time.csv
SAUCIE,SAUCIE,SAUCIE,runtime_score,0.9992380469391016,metric\score\efficiency\time.csv
SCDRHA,SCDRHA,SCDRHA,runtime_score,0.9045752832262788,metric\score\efficiency\time.csv
SIMLR,SIMLR,SIMLR,runtime_score,0.6622925247969618,metric\score\efficiency\time.csv
SPDR,SPDR,SPDR,runtime_score,0.8109677130866199,metric\score\efficiency\time.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,runtime_score,0.9800019541209342,metric\score\efficiency\time.csv
SSNMDI,SSNMDI,SSNMDI,runtime_score,0.7210609722103707,metric\score\efficiency\time.csv
TriMap,TriMap,TriMap,runtime_score,0.998206875584548,metric\score\efficiency\time.csv
UMAP,UMAP,UMAP,runtime_score,0.9936113792499618,metric\score\efficiency\time.csv
VAE,VAE,VAE,runtime_score,0.9475200089450316,metric\score\efficiency\time.csv
VASC,VASC,VASC,runtime_score,0.4060811215200675,metric\score\efficiency\time.csv
ZIFA,ZIFA,ZIFA,runtime_score,0.7659980816521857,metric\score\efficiency\time.csv
ivis,IVIS,IVIS,runtime_score,0.993505958886628,metric\score\efficiency\time.csv
pCMF,pCMF,pCMF,runtime_score,0.5026042069385395,metric\score\efficiency\time.csv
scGAE,scGAE,scGAE,runtime_score,0.9170793208350828,metric\score\efficiency\time.csv
scGBM,scGBM,scGBM,runtime_score,0.9880037803139912,metric\score\efficiency\time.csv
scScope,scScope,scScope,runtime_score,0.9521141154368372,metric\score\efficiency\time.csv
scvis,scvis,scvis,runtime_score,0.3613162400126833,metric\score\efficiency\time.csv
t-SNE,t-SNE,t-SNE,runtime_score,0.9929750473195488,metric\score\efficiency\time.csv
tGPLVM,tGPLVM,tGPLVM,runtime_score,0.910890886012984,metric\score\efficiency\time.csv
DRA,DRA,DRA,memory_score,0.9598833770821812,metric\score\efficiency\memory.csv
DREAM,DREAM,DREAM,memory_score,0.7942985167755877,metric\score\efficiency\memory.csv
EDGE,EDGE,EDGE,memory_score,0.3983277516129182,metric\score\efficiency\memory.csv
GLMPCA,GLMPCA,GLMPCA,memory_score,0.9746071524888532,metric\score\efficiency\memory.csv
PCA,PCA,PCA,memory_score,0.991381117444644,metric\score\efficiency\memory.csv
PHATE,PHATE,PHATE,memory_score,0.9808039705501868,metric\score\efficiency\memory.csv
PaCMAP,PaCMAP,PaCMAP,memory_score,0.9771872503316348,metric\score\efficiency\memory.csv
SAUCIE,SAUCIE,SAUCIE,memory_score,0.9757891099014836,metric\score\efficiency\memory.csv
SCDRHA,SCDRHA,SCDRHA,memory_score,0.5062892498654088,metric\score\efficiency\memory.csv
SIMLR,SIMLR,SIMLR,memory_score,0.3675259205837353,metric\score\efficiency\memory.csv
SPDR,SPDR,SPDR,memory_score,0.9385200189987768,metric\score\efficiency\memory.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,memory_score,0.976455675889568,metric\score\efficiency\memory.csv
SSNMDI,SSNMDI,SSNMDI,memory_score,0.7402755539306447,metric\score\efficiency\memory.csv
TriMap,TriMap,TriMap,memory_score,0.9765433241464891,metric\score\efficiency\memory.csv
UMAP,UMAP,UMAP,memory_score,0.9061862458457284,metric\score\efficiency\memory.csv
VAE,VAE,VAE,memory_score,0.927733438273756,metric\score\efficiency\memory.csv
VASC,VASC,VASC,memory_score,0.955671222448901,metric\score\efficiency\memory.csv
ZIFA,ZIFA,ZIFA,memory_score,0.933574476757142,metric\score\efficiency\memory.csv
ivis,IVIS,IVIS,memory_score,0.9295381970455028,metric\score\efficiency\memory.csv
pCMF,pCMF,pCMF,memory_score,0.9730604455276654,metric\score\efficiency\memory.csv
scGAE,scGAE,scGAE,memory_score,0.666807275551742,metric\score\efficiency\memory.csv
scGBM,scGBM,scGBM,memory_score,0.954582357660856,metric\score\efficiency\memory.csv
scScope,scScope,scScope,memory_score,0.9133535688601334,metric\score\efficiency\memory.csv
scvis,scvis,scvis,memory_score,0.97381780319574,metric\score\efficiency\memory.csv
t-SNE,t-SNE,t-SNE,memory_score,0.9911861838309288,metric\score\efficiency\memory.csv
tGPLVM,tGPLVM,tGPLVM,memory_score,0.9362192146354886,metric\score\efficiency\memory.csv
DRA,DRA,DRA,stability_median,0.1268352225840869,metric/score/stability/*.csv
DREAM,DREAM,DREAM,stability_median,0.3159615557998821,metric/score/stability/*.csv
EDGE,EDGE,EDGE,stability_median,0.6340310914466445,metric/score/stability/*.csv
GLMPCA,GLMPCA,GLMPCA,stability_median,0.6186487496708308,metric/score/stability/*.csv
IVIS,IVIS,IVIS,stability_median,0.4502708049824035,metric/score/stability/*.csv
PCA,PCA,PCA,stability_median,0.6483941740179835,metric/score/stability/*.csv
PHATE,PHATE,PHATE,stability_median,0.7749988779566965,metric/score/stability/*.csv
PaCMAP,PaCMAP,PaCMAP,stability_median,0.1442852232794601,metric/score/stability/*.csv
Parametric UMAP 200,Parametric UMAP 200,UMAP,stability_median,0.7555478074958912,metric/score/stability/*.csv
Parametric UMAP 50,Parametric UMAP 50,UMAP,stability_median,0.7469879941883032,metric/score/stability/*.csv
SAUCIE,SAUCIE,SAUCIE,stability_median,0.1208845555915354,metric/score/stability/*.csv
SCDRHA,SCDRHA,SCDRHA,stability_median,0.5808443621510366,metric/score/stability/*.csv
SIMLR,SIMLR,SIMLR,stability_median,0.7839826480835557,metric/score/stability/*.csv
SPDR,SPDR,SPDR,stability_median,0.8189764504787866,metric/score/stability/*.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,stability_median,0.4605976736673461,metric/score/stability/*.csv
SQuaD-MDS hybrid,SQuaD-MDS hybrid,SQuaD-MDS,stability_median,0.7068702956246898,metric/score/stability/*.csv
SSNMDI,SSNMDI,SSNMDI,stability_median,0.1157900611119457,metric/score/stability/*.csv
TriMap,TriMap,TriMap,stability_median,0.8237615995564432,metric/score/stability/*.csv
UMAP,UMAP,UMAP,stability_median,0.7114589363686984,metric/score/stability/*.csv
VAE,VAE,VAE,stability_median,0.7556558274408287,metric/score/stability/*.csv
ZIFA,ZIFA,ZIFA,stability_median,0.6658250217671839,metric/score/stability/*.csv
pCMF,pCMF,pCMF,stability_median,0.1325848821346411,metric/score/stability/*.csv
scGAE,scGAE,scGAE,stability_median,0.2501117492795352,metric/score/stability/*.csv
scGBM,scGBM,scGBM,stability_median,0.629440459246491,metric/score/stability/*.csv
scScope,scScope,scScope,stability_median,0.3193103534510967,metric/score/stability/*.csv
scvis,scvis,scvis,stability_median,0.1666444455347927,metric/score/stability/*.csv
t-SNE,t-SNE,t-SNE,stability_median,0.7848551977001316,metric/score/stability/*.csv
tGPLVM,tGPLVM,tGPLVM,stability_median,0.6324226350305697,metric/score/stability/*.csv
