parent_method,score,perturbation_axis,method_order,panel_source,method_id,method_raw,metric,value,dataset_category,dataset_id,structure_table,collection,sim_axis,clustering_algorithm
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,cell_3w,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.52,simulate,cell_3w,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.22,simulate,cell_3w,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,cell_3w,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,cell_3w,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,cell_3w,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,cell_3w,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.79,simulate,cell_3w,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,cell_500,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,cell_500,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,cell_500,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,cell_500,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.78,simulate,cell_500,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.71,simulate,cell_500,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.77,simulate,cell_500,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,cell_500,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.87,simulate,cell_500,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.44,simulate,cell_500,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.73,simulate,cell_500,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.87,simulate,cell_500,,simulated,cells,spectral
