method_id,local,global,kmeans,louvain,spectral,runtime_score,memory_score,stability_median,overall_mean,source,method_raw,parent_method,score_domain,score,method_order
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,runtime_score,0.910890886012984,6
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,spectral,0.3309422329875315,6
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,stability_median,0.6324226350305697,6
VAE,,,,,,,,,,score_long,VAE,VAE,global,0.5055493950178311,7
VAE,,,,,,,,,,score_long,VAE,VAE,kmeans,0.4604032134262717,7
VAE,,,,,,,,,,score_long,VAE,VAE,local,0.4674015254786871,7
VAE,,,,,,,,,,score_long,VAE,VAE,louvain,0.4152707773285628,7
VAE,,,,,,,,,,score_long,VAE,VAE,memory_score,0.927733438273756,7
VAE,,,,,,,,,,score_long,VAE,VAE,runtime_score,0.9475200089450316,7
VAE,,,,,,,,,,score_long,VAE,VAE,spectral,0.4736836636253245,7
VAE,,,,,,,,,,score_long,VAE,VAE,stability_median,0.7556558274408287,7
scvis,,,,,,,,,,score_long,scvis,scvis,global,0.7353173891085545,8
scvis,,,,,,,,,,score_long,scvis,scvis,kmeans,0.5839409281387437,8
scvis,,,,,,,,,,score_long,scvis,scvis,local,0.6070852578513585,8
scvis,,,,,,,,,,score_long,scvis,scvis,louvain,0.4908234852803262,8
scvis,,,,,,,,,,score_long,scvis,scvis,memory_score,0.97381780319574,8
scvis,,,,,,,,,,score_long,scvis,scvis,runtime_score,0.3613162400126833,8
scvis,,,,,,,,,,score_long,scvis,scvis,spectral,0.583473067261674,8
scvis,,,,,,,,,,score_long,scvis,scvis,stability_median,0.1666444455347927,8
VASC,,,,,,,,,,score_long,VASC,VASC,global,0.6367106437112424,9
VASC,,,,,,,,,,score_long,VASC,VASC,kmeans,0.5964052983154925,9
VASC,,,,,,,,,,score_long,VASC,VASC,local,0.5075645495937986,9
VASC,,,,,,,,,,score_long,VASC,VASC,louvain,0.4803515729959036,9
VASC,,,,,,,,,,score_long,VASC,VASC,memory_score,0.955671222448901,9
VASC,,,,,,,,,,score_long,VASC,VASC,runtime_score,0.4060811215200675,9
VASC,,,,,,,,,,score_long,VASC,VASC,spectral,0.5560627043271175,9
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,global,0.6174676289710875,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,kmeans,0.3560838415899095,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,local,0.4427373038422977,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,louvain,0.3338509220477925,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,memory_score,0.9757891099014836,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,runtime_score,0.9992380469391016,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,spectral,0.365687803452045,10
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,stability_median,0.1208845555915354,10
scScope,,,,,,,,,,score_long,scScope,scScope,global,0.5575111000224625,11
scScope,,,,,,,,,,score_long,scScope,scScope,kmeans,0.3655855426935524,11
scScope,,,,,,,,,,score_long,scScope,scScope,local,0.4413166888137593,11
scScope,,,,,,,,,,score_long,scScope,scScope,louvain,0.3417279068528242,11
scScope,,,,,,,,,,score_long,scScope,scScope,memory_score,0.9133535688601334,11
scScope,,,,,,,,,,score_long,scScope,scScope,runtime_score,0.9521141154368372,11
scScope,,,,,,,,,,score_long,scScope,scScope,spectral,0.3788985131838598,11
scScope,,,,,,,,,,score_long,scScope,scScope,stability_median,0.3193103534510967,11
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,global,0.6910066925480315,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,kmeans,0.5188718778524604,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,local,0.5319997323408233,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,louvain,0.4581103639138628,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,memory_score,0.5062892498654088,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,runtime_score,0.9045752832262788,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,spectral,0.4925694614430029,12
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,stability_median,0.5808443621510366,12
scGAE,,,,,,,,,,score_long,scGAE,scGAE,global,0.5828678666177501,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,kmeans,0.4827543461123558,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,local,0.5220747406710486,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,louvain,0.4772822399417915,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,memory_score,0.666807275551742,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,runtime_score,0.9170793208350828,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,spectral,0.506410405508724,13
scGAE,,,,,,,,,,score_long,scGAE,scGAE,stability_median,0.2501117492795352,13
DREAM,,,,,,,,,,score_long,DREAM,DREAM,global,0.578288297939532,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,kmeans,0.4625721309434902,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,local,0.4449436645114304,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,louvain,0.4097234622564074,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,memory_score,0.7942985167755877,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,runtime_score,0.8934219566326963,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,spectral,0.4680473162542483,14
DREAM,,,,,,,,,,score_long,DREAM,DREAM,stability_median,0.3159615557998821,14
DRA,,,,,,,,,,score_long,DRA,DRA,global,0.3012807288211149,15
DRA,,,,,,,,,,score_long,DRA,DRA,kmeans,0.1628000892042154,15
DRA,,,,,,,,,,score_long,DRA,DRA,local,0.2032679503681033,15
DRA,,,,,,,,,,score_long,DRA,DRA,louvain,0.1481927539176749,15
DRA,,,,,,,,,,score_long,DRA,DRA,memory_score,0.9598833770821812,15
DRA,,,,,,,,,,score_long,DRA,DRA,runtime_score,0.8267488989935681,15
DRA,,,,,,,,,,score_long,DRA,DRA,spectral,0.1630912245308264,15
DRA,,,,,,,,,,score_long,DRA,DRA,stability_median,0.1268352225840869,15
Parametric UMAP 200,,,,,,,,,,score_long,ParametricUMAP200,UMAP,global,0.6447870416650552,16
Parametric UMAP 50,,,,,,,,,,score_long,ParametricUMAP50,UMAP,global,0.653867130313502,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,global,0.6314566903197647,16
Parametric UMAP 200,,,,,,,,,,score_long,ParametricUMAP200,UMAP,kmeans,0.5900427765330678,16
Parametric UMAP 50,,,,,,,,,,score_long,ParametricUMAP50,UMAP,kmeans,0.5894005891627251,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,kmeans,0.5787030536884906,16
Parametric UMAP 200,,,,,,,,,,score_long,ParametricUMAP200,UMAP,local,0.5951516502507292,16
Parametric UMAP 50,,,,,,,,,,score_long,ParametricUMAP50,UMAP,local,0.5905102957431956,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,local,0.5957865069885228,16
Parametric UMAP 200,,,,,,,,,,score_long,ParametricUMAP200,UMAP,louvain,0.5010743542263446,16
Parametric UMAP 50,,,,,,,,,,score_long,ParametricUMAP50,UMAP,louvain,0.4953740210421593,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,louvain,0.4999207162134989,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,memory_score,0.9061862458457284,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,runtime_score,0.9936113792499618,16
Parametric UMAP 200,,,,,,,,,,score_long,ParametricUMAP200,UMAP,spectral,0.5841753714840537,16
Parametric UMAP 50,,,,,,,,,,score_long,ParametricUMAP50,UMAP,spectral,0.5837290097799707,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,spectral,0.582214695749356,16
Parametric UMAP 200,,,,,,,,,,score_long,Parametric UMAP 200,UMAP,stability_median,0.7555478074958912,16
Parametric UMAP 50,,,,,,,,,,score_long,Parametric UMAP 50,UMAP,stability_median,0.7469879941883032,16
UMAP,,,,,,,,,,score_long,UMAP,UMAP,stability_median,0.7114589363686984,16
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,global,0.5683413368040419,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,kmeans,0.6118213617765522,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,local,0.5701726284325269,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,louvain,0.5345937007100237,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,memory_score,0.3675259205837353,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,runtime_score,0.6622925247969618,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,spectral,0.5765694781903007,17
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,stability_median,0.7839826480835557,17
PHATE,,,,,,,,,,score_long,PHATE,PHATE,global,0.6554083269367512,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,kmeans,0.6026995685005394,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,local,0.5686017316082013,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,louvain,0.4922520682469142,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,memory_score,0.9808039705501868,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,runtime_score,0.9931611324102574,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,spectral,0.5773967551996035,18
PHATE,,,,,,,,,,score_long,PHATE,PHATE,stability_median,0.7749988779566965,18
EDGE,,,,,,,,,,score_long,EDGE,EDGE,global,0.5180693200922843,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,kmeans,0.4864847730478798,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,local,0.4892786262126192,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,louvain,0.4551393288661315,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,memory_score,0.3983277516129182,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,runtime_score,0.8648948226156898,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,spectral,0.4828766031751619,19
EDGE,,,,,,,,,,score_long,EDGE,EDGE,stability_median,0.6340310914466445,19
SPDR,,,,,,,,,,score_long,SPDR,SPDR,global,0.6376890721367113,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,kmeans,0.6051493963156584,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,local,0.6091308881853755,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,louvain,0.5092824021856938,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,memory_score,0.9385200189987768,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,runtime_score,0.8109677130866199,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,spectral,0.5900624458157059,20
SPDR,,,,,,,,,,score_long,SPDR,SPDR,stability_median,0.8189764504787866,20
IVIS,,,,,,,,,,score_long,ivis,IVIS,global,0.6203183422116902,21
IVIS,,,,,,,,,,score_long,ivis,IVIS,kmeans,0.5485191477885653,21
IVIS,,,,,,,,,,score_long,ivis,IVIS,local,0.522776027319176,21
IVIS,,,,,,,,,,score_long,ivis,IVIS,louvain,0.4732902158297239,21
IVIS,,,,,,,,,,score_long,ivis,IVIS,memory_score,0.9295381970455028,21
IVIS,,,,,,,,,,score_long,ivis,IVIS,runtime_score,0.993505958886628,21
IVIS,,,,,,,,,,score_long,ivis,IVIS,spectral,0.5624134811145792,21
IVIS,,,,,,,,,,score_long,IVIS,IVIS,stability_median,0.4502708049824035,21
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,global,0.3666837378551715,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,kmeans,0.3068713903410505,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,local,0.2954157800739314,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,louvain,0.2865888370401018,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,memory_score,0.9771872503316348,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,runtime_score,0.9961603460946472,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,spectral,0.29829435486093,22
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,stability_median,0.1442852232794601,22
t-SNE,,,,,,,,,,score_long,TSNE,t-SNE,global,0.5970260528389916,23
t-SNE,,,,,,,,,,score_long,TSNE,t-SNE,kmeans,0.6069200273836196,23
t-SNE,,,,,,,,,,score_long,TSNE,t-SNE,local,0.5814595153513493,23
t-SNE,,,,,,,,,,score_long,TSNE,t-SNE,louvain,0.5390343100771523,23
t-SNE,,,,,,,,,,score_long,t-SNE,t-SNE,memory_score,0.9911861838309288,23
t-SNE,,,,,,,,,,score_long,t-SNE,t-SNE,runtime_score,0.9929750473195488,23
t-SNE,,,,,,,,,,score_long,TSNE,t-SNE,spectral,0.6274086146383676,23
t-SNE,,,,,,,,,,score_long,t-SNE,t-SNE,stability_median,0.7848551977001316,23
TriMap,,,,,,,,,,score_long,TriMap,TriMap,global,0.6994661169262986,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,kmeans,0.6135668201808979,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,local,0.6032353265399039,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,louvain,0.5206517457613115,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,memory_score,0.9765433241464891,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,runtime_score,0.998206875584548,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,spectral,0.6070360566757272,24
TriMap,,,,,,,,,,score_long,TriMap,TriMap,stability_median,0.8237615995564432,24
SQuaD-MDS,,,,,,,,,,score_long,SQuaD_MDS,SQuaD-MDS,global,0.7864235049042944,25
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD_MDS_hybrid,SQuaD-MDS,global,0.7028448367836448,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD_MDS,SQuaD-MDS,kmeans,0.4533303667745416,25
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD_MDS_hybrid,SQuaD-MDS,kmeans,0.5347434549000083,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD_MDS,SQuaD-MDS,local,0.5398925997396424,25
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD_MDS_hybrid,SQuaD-MDS,local,0.6051404684878344,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD_MDS,SQuaD-MDS,louvain,0.4244903549381937,25
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD_MDS_hybrid,SQuaD-MDS,louvain,0.4827589405339254,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD-MDS,SQuaD-MDS,memory_score,0.976455675889568,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD-MDS,SQuaD-MDS,runtime_score,0.9800019541209342,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD_MDS,SQuaD-MDS,spectral,0.4645303627141308,25
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD_MDS_hybrid,SQuaD-MDS,spectral,0.5467643959347803,25
SQuaD-MDS,,,,,,,,,,score_long,SQuaD-MDS,SQuaD-MDS,stability_median,0.4605976736673461,25
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD-MDS hybrid,SQuaD-MDS,stability_median,0.7068702956246898,25
