method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,nh_10,0.515,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.509,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.504,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.628,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.776,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.764,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.756,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.588,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.591,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.594,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.549,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.562,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.568,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.437,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.432,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.428,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.55,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.901,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.916,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.925,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.897,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.908,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.916,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.874,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.846,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.814,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.802,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.767,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.728,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.857,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.786,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.778,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.772,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.632,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.635,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.637,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.86,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.859,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.86,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.796,TI,epidermis,dr3,0,trajectory,other
