method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,method_order,collection,sim_axis
PCA,0.31,PCA,PCA,TI,combination-3,kmeans,COMP,0,trajectory,other
PCA,0.19,PCA,PCA,TI,combination-3,kmeans,HOMO,0,trajectory,other
PCA,0.24,PCA,PCA,TI,combination-3,kmeans,NMI,0,trajectory,other
PCA,0.48,PCA,PCA,TI,combination-3,kmeans,SIL,0,trajectory,other
PCA,0.07,PCA,PCA,TI,combination-3,louvain,ARI,0,trajectory,other
PCA,0.19,PCA,PCA,TI,combination-3,louvain,COMP,0,trajectory,other
PCA,0.35,PCA,PCA,TI,combination-3,louvain,HOMO,0,trajectory,other
PCA,0.24,PCA,PCA,TI,combination-3,louvain,NMI,0,trajectory,other
PCA,0.22,PCA,PCA,TI,combination-3,louvain,SIL,0,trajectory,other
PCA,0.17,PCA,PCA,TI,combination-3,spectral,ARI,0,trajectory,other
PCA,0.26,PCA,PCA,TI,combination-3,spectral,COMP,0,trajectory,other
PCA,0.27,PCA,PCA,TI,combination-3,spectral,HOMO,0,trajectory,other
PCA,0.27,PCA,PCA,TI,combination-3,spectral,NMI,0,trajectory,other
PCA,0.28,PCA,PCA,TI,combination-3,spectral,SIL,0,trajectory,other
PCA,0.7,PCA,PCA,TI,epiblast,kmeans,ARI,0,trajectory,other
PCA,0.75,PCA,PCA,TI,epiblast,kmeans,COMP,0,trajectory,other
PCA,0.77,PCA,PCA,TI,epiblast,kmeans,HOMO,0,trajectory,other
PCA,0.76,PCA,PCA,TI,epiblast,kmeans,NMI,0,trajectory,other
PCA,0.58,PCA,PCA,TI,epiblast,kmeans,SIL,0,trajectory,other
PCA,0.6,PCA,PCA,TI,epiblast,louvain,ARI,0,trajectory,other
PCA,0.69,PCA,PCA,TI,epiblast,louvain,COMP,0,trajectory,other
PCA,0.76,PCA,PCA,TI,epiblast,louvain,HOMO,0,trajectory,other
PCA,0.72,PCA,PCA,TI,epiblast,louvain,NMI,0,trajectory,other
PCA,0.51,PCA,PCA,TI,epiblast,louvain,SIL,0,trajectory,other
PCA,0.62,PCA,PCA,TI,epiblast,spectral,ARI,0,trajectory,other
PCA,0.72,PCA,PCA,TI,epiblast,spectral,COMP,0,trajectory,other
PCA,0.76,PCA,PCA,TI,epiblast,spectral,HOMO,0,trajectory,other
PCA,0.74,PCA,PCA,TI,epiblast,spectral,NMI,0,trajectory,other
PCA,0.52,PCA,PCA,TI,epiblast,spectral,SIL,0,trajectory,other
PCA,0.63,PCA,PCA,TI,epidermis,kmeans,ARI,0,trajectory,other
PCA,0.69,PCA,PCA,TI,epidermis,kmeans,COMP,0,trajectory,other
PCA,0.48,PCA,PCA,TI,epidermis,kmeans,HOMO,0,trajectory,other
PCA,0.57,PCA,PCA,TI,epidermis,kmeans,NMI,0,trajectory,other
PCA,0.76,PCA,PCA,TI,epidermis,kmeans,SIL,0,trajectory,other
PCA,0.03,PCA,PCA,TI,epidermis,louvain,ARI,0,trajectory,other
PCA,0.19,PCA,PCA,TI,epidermis,louvain,COMP,0,trajectory,other
PCA,0.65,PCA,PCA,TI,epidermis,louvain,HOMO,0,trajectory,other
PCA,0.29,PCA,PCA,TI,epidermis,louvain,NMI,0,trajectory,other
PCA,0.2,PCA,PCA,TI,epidermis,louvain,SIL,0,trajectory,other
PCA,0.23,PCA,PCA,TI,epidermis,spectral,ARI,0,trajectory,other
PCA,0.39,PCA,PCA,TI,epidermis,spectral,COMP,0,trajectory,other
PCA,0.53,PCA,PCA,TI,epidermis,spectral,HOMO,0,trajectory,other
PCA,0.45,PCA,PCA,TI,epidermis,spectral,NMI,0,trajectory,other
PCA,0.25,PCA,PCA,TI,epidermis,spectral,SIL,0,trajectory,other
PCA,0.45,PCA,PCA,TI,horns,kmeans,ARI,0,trajectory,other
PCA,0.66,PCA,PCA,TI,horns,kmeans,COMP,0,trajectory,other
PCA,0.68,PCA,PCA,TI,horns,kmeans,HOMO,0,trajectory,other
PCA,0.67,PCA,PCA,TI,horns,kmeans,NMI,0,trajectory,other
PCA,0.39,PCA,PCA,TI,horns,kmeans,SIL,0,trajectory,other
PCA,0.49,PCA,PCA,TI,horns,louvain,ARI,0,trajectory,other
PCA,0.72,PCA,PCA,TI,horns,louvain,COMP,0,trajectory,other
PCA,0.65,PCA,PCA,TI,horns,louvain,HOMO,0,trajectory,other
PCA,0.68,PCA,PCA,TI,horns,louvain,NMI,0,trajectory,other
PCA,0.4,PCA,PCA,TI,horns,louvain,SIL,0,trajectory,other
PCA,0.4,PCA,PCA,TI,horns,spectral,ARI,0,trajectory,other
PCA,0.61,PCA,PCA,TI,horns,spectral,COMP,0,trajectory,other
PCA,0.65,PCA,PCA,TI,horns,spectral,HOMO,0,trajectory,other
PCA,0.63,PCA,PCA,TI,horns,spectral,NMI,0,trajectory,other
PCA,0.35,PCA,PCA,TI,horns,spectral,SIL,0,trajectory,other
PCA,-0.0,PCA,PCA,TI,muscle,kmeans,ARI,0,trajectory,other
PCA,0.06,PCA,PCA,TI,muscle,kmeans,COMP,0,trajectory,other
PCA,0.0,PCA,PCA,TI,muscle,kmeans,HOMO,0,trajectory,other
PCA,0.0,PCA,PCA,TI,muscle,kmeans,NMI,0,trajectory,other
PCA,0.98,PCA,PCA,TI,muscle,kmeans,SIL,0,trajectory,other
PCA,0.01,PCA,PCA,TI,muscle,louvain,ARI,0,trajectory,other
PCA,0.02,PCA,PCA,TI,muscle,louvain,COMP,0,trajectory,other
PCA,0.08,PCA,PCA,TI,muscle,louvain,HOMO,0,trajectory,other
PCA,0.03,PCA,PCA,TI,muscle,louvain,NMI,0,trajectory,other
PCA,0.2,PCA,PCA,TI,muscle,louvain,SIL,0,trajectory,other
PCA,0.03,PCA,PCA,TI,muscle,spectral,ARI,0,trajectory,other
PCA,0.03,PCA,PCA,TI,muscle,spectral,COMP,0,trajectory,other
PCA,0.03,PCA,PCA,TI,muscle,spectral,HOMO,0,trajectory,other
PCA,0.03,PCA,PCA,TI,muscle,spectral,NMI,0,trajectory,other
PCA,0.38,PCA,PCA,TI,muscle,spectral,SIL,0,trajectory,other
PCA,0.33,PCA,PCA,TI,neuron,kmeans,ARI,0,trajectory,other
PCA,0.31,PCA,PCA,TI,neuron,kmeans,COMP,0,trajectory,other
PCA,0.25,PCA,PCA,TI,neuron,kmeans,HOMO,0,trajectory,other
PCA,0.28,PCA,PCA,TI,neuron,kmeans,NMI,0,trajectory,other
PCA,0.42,PCA,PCA,TI,neuron,kmeans,SIL,0,trajectory,other
PCA,0.07,PCA,PCA,TI,neuron,louvain,ARI,0,trajectory,other
