method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,aji_20,0.089,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.124,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.109,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.172,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.225,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.886,TI,trophectoderm,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.874,TI,trophectoderm,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.862,TI,trophectoderm,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.292,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.479,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.557,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.465,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.662,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.728,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.887,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_20,0.884,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_30,0.882,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,aji_10,0.01,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,aji_20,0.017,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,aji_30,0.023,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,nkr_10,0.019,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,nkr_20,0.033,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,nkr_30,0.044,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,Mrre_missing_10,0.93,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_20,0.922,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_30,0.915,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,aji_10,0.507,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,aji_20,0.806,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,aji_30,0.818,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,nkr_10,0.7,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,nkr_20,0.946,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,nkr_30,0.927,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,Mrre_missing_10,0.916,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_20,0.91,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_30,0.902,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,aji_10,0.283,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,aji_20,0.419,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,aji_30,0.516,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,nkr_10,0.452,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,nkr_20,0.602,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,nkr_30,0.689,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,Mrre_missing_10,0.589,VASC,Xin,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_20,0.589,VASC,Xin,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_30,0.588,VASC,Xin,dr3,0,VASC,other
PCA,PCA,PCA,aji_10,0.011,VASC,Xin,dr1,0,VASC,other
