atlas_layer,dataset_type,source_table,source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells,cell_count_text,sequencing_technology,year,counting_rule,source,category,dataset,genes,sparsity_pct,cell_types,size_mb,Unnamed: 7,param_group,param_value,n_batches,n_groups,dataset_id,matrix_path_or_source,n_cells,n_genes,label_status,availability,planned_use
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,2590.0,,,,,real_detail,benchmarker,benchmarker/Silver,3000.0,89.0,11.0,42.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,3994.0,,,,,real_detail,benchmarker,benchmarker/Zhengmix4eq,3000.0,96.4,4.0,52.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/ACINAR,3043.0,28.8,2851.0,7.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1133.0,,,,,real_detail,scDesign3,scDesign3/ATAC,7034.0,93.3,1.0,16.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/BATCH,6276.0,78.1,9.0,13.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1010.0,,,,,real_detail,scDesign3,scDesign3/CITE,8617.0,76.3,1.0,18.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/EMBYRO,1289.0,45.6,5.0,4.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/IFNB,13999.0,82.8,2.0,28.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/MARROW,2660.0,72.1,2.0,6.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,182.0,,,,,real_detail,scDesign3,scDesign3/MOBSC,12640.0,75.7,4.0,13.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,182.0,,,,,real_detail,scDesign3,scDesign3/MOBSP,278.0,32.5,266.0,1.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/OVARIAN,3455.0,33.7,1.0,8.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/PANCREAS,2087.0,54.0,4.0,5.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,27.0,,,,,real_detail,scDesign3,scDesign3/SCGEMMETH,142.0,36.2,130.0,1.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,32.0,,,,,real_detail,scDesign3,scDesign3/SCGEMRNA,177.0,59.6,168.0,1.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,3836.0,,,,,real_detail,scDesign3,scDesign3/SCIATAC,4024.0,98.2,4024.0,30.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/SLIDE,23371.0,95.3,23350.0,45.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1000.0,,,,,real_detail,scDesign3,scDesign3/VISIUM,2696.0,36.8,1.0,6.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,277.0,,,,,real_detail,TI,TI/GSE100058/DA1_horns,2621.0,66.1,5.0,5.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,168.0,,,,,real_detail,TI,TI/GSE100058/DC3_VA1d_horns,2621.0,64.0,9.0,4.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,454.0,,,,,real_detail,TI,TI/GSE100058/horns,2621.0,65.4,14.0,9.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,4288.0,,,,,real_detail,TI,TI/GSE103633/combination-1,4210.0,94.4,7.0,50.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,4341.0,,,,,real_detail,TI,TI/GSE103633/combination-2,4210.0,95.5,12.0,48.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,2270.0,,,,,real_detail,TI,TI/GSE103633/combination-3,4210.0,94.9,7.0,26.0,,,,,,,,,,,,
